16,PHWatchers, #UPLB's Stephen Villena gets Schooled.https://t.co/nrZ2Y0XACk https://t.co/yUE4PQu8Q3,,,
17,jaykaytiel, The more you know, the less you can be a dick. #PSA #UPLB https://t.co/hQGOadLDjq,,
18,UPLBResearch, Everyone is invited to attend the seminar series organized by CPAF, #UPLB. On 17 March 2016, Dr. Carolyn... https://t.co/emfz8AeRjv,
19,UPLBOfficial, [#UPLB Job Opening] Three (3) REPS position under Animal and Dairy Sciences Cluster, College of Agriculture https://t.co/JykWk0o8iS,,
20,withersfork, #Duterte's message to his supporters RE #UPLB student: https://t.co/h4clwE3zbf,,,
21,abbyshug, #UPLB #duterteStephen Villena https://t.co/3WIQpFfDLZ,,,
22,greyPSYCHo, No intention to disrespect, kasi natural na ganon ang kultura. #UPLB,,
23,msnph, #UPLB student to #Duterte supporters: I meant no disrespect | https://t.co/PAHtqKPJX3 https://t.co/Wksiwufx3h,,,
24,ziekfucker, Stephen sure knows how to answer#UPLB,,,
25,anterucirpo, I liked a @YouTube video https://t.co/igRMU6wIHF Eto ang direchong sagot ni Mayor Rody Duterte sa pambabastos ng isang #UPLB,,,
26,itsaboutMwark, Regarding on the issue bout the #UPLB student who raised question to #Duterte . Bumili Ka ng common sense! Ta** Ina. 1/3,,,
27,missjover, Dahil nagtanong c #StephenVillena sa isyung panlipunan ganito na ang sinapit s kamay ng supporters ni DUTERTE #UPLB https://t.co/BaVoQ2jb93,,,
28,DizzyMissNizzie, I urge every #Du30 supporter to just understand all sides of the situation before you type vitriol. Seriously. :( #NoToBullying #UPLB,,,
29,patph81, #UPLB  https://t.co/ggyURb7YYM,,,
30,zheyrhumbee, This is the lowest of the low!!! To tell someone to kill himself is pure evil! #StopCyberbullying #UPLB https://t.co/7fIbTM75Pi,,,
31,kennrealtime, The State shall assign the highest budgetary priority to education... Article XIV Sec. 5 (5). #UPLB,,,
32,mysurnameisALI, ..cause I haven't done it for a while. #makipagdebate #uplb #dontUS #dontUPLB,,,
33,aryzai, Proud #UPLB alumni!,,,
34,TheMuslimGayGuy, I think the #UPLB student is trying to fish for bad fish. Making sure the person's answer will end up wrong https://t.co/J0PMy3DuWr,,,
35,TheMuslimGayGuy, I am not a @RRD_Davao fan but that #UPLB Student is just (God knows what). Stupid question and arrogant gesture, trying-hard aktibista? LOL,,
36,rommelmacayan, Pagpupugay kay Stephen Villena! #UPLB #elbi @uplbperspective @UPLBOfficial,,,
37,ayiegarcia, #UPLB innovator develops machine to cut pest damage in #rice &amp; #corn https://t.co/AyoTyVlUYZ https://t.co/uA6x4A5GUl,,,
38,jhedmasters, May death threat na daw yung estudyante galing UPLB na nambashes kay duterte.. eh pno pa kya pag nagong presidente yan!! :x#UPLB,,,
39,JAstbeyourself, Kabog yung open letter. May tatak Elbi talaga. (If you know what I mean) <ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC> #UPLB,,,
40,missjover, Pinaglaruan nyo pagkatao niya, pati na pamilya niya. You even bullied pati yung mga nagtatanggol sa kanya. Yan ba ang disiplina? #UPLB,,
41,JAstbeyourself, An open letter wouldn't change anything. Whats done is done. #UPLB,,,
42,Mond_gan, Maybe this #UPLB man is expressing his side, he should point out it in a right manner,,
43,missjover, Your mob bullied ang isang bata na gusto lang magkaroon ng direct na kasagutan sa isyung panlipunan. #UPLB,,,
44,riggzS, I know a lot of #UP and #UPLB grads,I'm married to an alumnus who has an uncle who taught in UPLB.none of them are rude.NONE!,,
45,jrbadet, The other face of the coin of the #Duterte and #UPLB student controversy. https://t.co/w0p7tfHfQX,,,
46,EjayGregorio, What's the issue with #UPLB ?,,,
47,romeotoring, The other face of the coin of the #Duterte and #UPLB student controversy. https://t.co/wNlMXmE34Y,,,
48,missjover, After defending Stephen Villena, eto nambubully at ginawan mo pa ako ng hashtag ha #UPLB https://t.co/zqWd4U22xd,,
49,KristelMK, #StephenVillena #UPLB,,,
50,imjeffmondragon, We know that we are well educated people. <ed><U+00A0><U+00BD><ed><U+00B8><U+008F> #UPLB,,,
51,imjeffmondragon, What a very intelligent manner. #UPLB  https://t.co/cCo1c1y3Ap,,,
52,itsmephats, My opinion about UPLB Student Stephen Villena vs Mayor Duterte @leahnavarro #Duterte #UPLB #StephenVillena https://t.co/0PbDcYQ8Ak,,,
53,ImNotKaren, here we go again #uplb fight lang,,,
54,missjover, another supporter of Duterte, na kahit sinabihan n wag mang bash or magbully hindi sumusunod. #walangdidiplina #UPLB https://t.co/zqWd4U22xd,,
55,staromanadaniel, It's nice to just lie-down in the middle of the field. #LosBa�os #UPLB #UltimateFrisbee #park� https://t.co/JWEUxn7pkw,,,
