38,jerembutido, Napanood ko yung coverage ng Rappler sa #DuterteVisitsUPLB at napansin ko na si Duterte simple lang damit tapos yung iba diyan wooh grabe,,,,
39,ChismosangKB, #Duterte to face raps for #Davao killings? #DuterteVisitsUPLB #Duterte2016 Read more: https://t.co/nppDOpftot https://t.co/wcU5qzrcuo,,,,
40,sfj_malaran, The comments about UP students tho. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A7> #DuterteVisitsUPLB https://t.co/vnfQVgw3DK,,,,
41,rihannaantero," Natatawa talaga ako nung kahapon sa #DuterteVisitsUPLB kasi ung entrance song ay """"You Raise Me Up"""" like yes? bakit yan yung song <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",,,,
42,savvynanivas, Anong nangyare sa #DuterteVisitsUPLB ??? I was too busy being apathetic haaaay. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A7>,,,,
43,pmlnnmndz," """"You might want to look behind me. Because behind me"," is a filipino in agony and in despair"""" - #Duterte #DuterteVisitsUPLB #Duterte2016",,,
44,desiree2ne1, Akala ko if well educated well mannered din haist so disappointing pasikat lng yung isa s nagtanong eh bastusan lng #DuterteVisitsUPLB,,,,
45,desiree2ne1, Napanuod ko yung replay ng Q&amp;A ang rude pala ng isa s nagtanong very disappointing #DuterteVisitsUPLB #PHVoteDuterte,,,,
46,hindiSANdara, Yey! #DuterteVisitsUPLB video available on March 14 https://t.co/Qf2JZxqhTw,,,,
47,davs_TorreSanto, #PHVoteDuterte Sagpa kyo ni sa Gabriela n dli msupporta ky #Duterte #Duterte2016 #DuterteVisitsUPLB,,,,
48,jmymzon, Yung student na nagtanong kay Duterte sa UPLB parang walang respeto,ganun din siguro sya sa ama nya. #DU30 #Duterte2016 #DuterteVisitsUPLB,,,
49,R_Gestiada," Natawa talaga ko kahapon kay Du30 dun sa """"Wala na si Duterte :("""" Hahahaha #chopperproblems #DuterteVisitsUPLB",,,,
50,aeLmo_, So @rapplerdotcom nga lang nagcover ng #DuterteVisitsUPLB? Hahahah! Fcuk mainstream media! Buti pa si Binay nicover para masiraan. :)),,,,
