37,AlexGGGGGGGG,"Grabe! Sobra sobra tawa ko sa mga tweets ni @Kuya_duterte Hahaha. Laughtrip!
sharmaindesiree, na stress ko sa uban nga mga fantards ni duterte, grabe ka bogo og way of thinking <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>
IVANadium_, Duterte fanboys and fangirls.
LouisTheSassAss, @Kuya_duterte oo hahaha barilin kita eh. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
dominicasipit_, @icydagalangit duterte!
justineleimnl, If I just can unfriend all Duterte supporters on my FB, I will... Pero sino ba naman ako sa buhay nila anek hahahaha pulitika ano ginawa mo?
PisbukDionisia, @TVPatrol @DorisBigornia- Tama dyan si Duterte.Alam na natin kung sino ang unang Tatangging buksan ang Bank Acct... https://t.co/lweL5sDayg
chuan_sheila, Rodrigo #Duterte &amp; Alan Peter #Cayetano mobbed by supporters in Palo Leyte today #DuterteCayetano #PHVoteDuterte https://t.co/G3MwozpHTV
msalvamarjorie, @ppanyppangppang @Kuya_duterte LOL <ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+009C>
JemCarz, Wala akong makitang kabastusan dun sa UP student na nagtanong kay Duterte
julsLokaaaa, WOOOOH NALAFTRIP AKO SA MGA TWEET MO PO @Kuya_duterte
KathleenSheen, Mga hinayupak mag study dw pero nanstalk rman diay kang Duterte ug crush ni Mitch ahay <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
chara_las, Sa issue ngayon tungkol kay Duterte and UPLB, naalala ko yung nangyari nung ME Board Exam namin.
Jaaaniiil, excited na ako makita bukas si Duterte. idol ko talaga sya. Pramis
Asdwightjkl, Kapag kaya nahalal na si duterte buhay pa rin kaya sya kinabukasan? HAHAHAHAHAHA
Jaaaniiil, @Senyora pupunta bukas sa school namin si Duterte. Trip ko mag ala UP-LB. okay lang ba sayo? Hahaha #PHVoteDuterte
msalvamarjorie, @ppanyppangppang @Kuya_duterte hmmm sge na nga~ gusto ko lang naman ng pagbabago eh <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
dextercruzat, April 2 daw pupunta ang Duterte Cayetano tandem sa Batangas City. Whoooooo!!! Nakakaexcite! <ed><U+00A0><U+00BD><ed><U+00B1><U+008A> #PHVoteDuterte
lorelyn_dumaug, Duterte, Rodriguez top in SPC mock polls - Mindanao Gold Star Daily https://t.co/JqIozLmyTC
msalvamarjorie, @Kuya_duterte @ppanyppangppang hmmmm ako ba to? Hahahahahhaha
supericawaii, *binay roasted by uplb students* netizens: nice uplb! deserved nya yun!*binastos daw si duterte* netizens: """"""""yabang up""""""""
ARCHdemm, watched Duterte's speech kanina sa rtr. he seems sincere but every politicians naman eh
marwilliee, Steph supporting Duterte https://t.co/2PMan0wNt3
vl_fe,I'm for Duterte-Marcos!<ed><U+00A0><U+00BD><ed><U+00B8><U+008E>you should know by now...bow wow wow!",,,,,,,
38,aljohnparinas, Tweets ni koya duterte grabeee <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,,,,,,,
39,chinitambok, X - Duterte-Cayetano tandem tops Misamis University mock polls https://t.co/zan85Ryi8v,,,,,,,
40,msalvamarjorie," """"@Kuya_duterte: Sabi ni crush tetext niya daw ako pag-uwi. Puta wala ata siyang bahay"""" HAHAHAHAHA gagi",,,,,,,
41,iSupportMRRD, RodyDu30: RT twit2millions: Walang makakapigil na pabebe kay Duterte sa Tacloban ;) #PHVoteDuterte Kabahan na sila ... ﾅ,,,,,,,
42,iSupportMRRD, RodyDu30: RT ADutertistas: The Oligarch never wanted change. They never want a Duterte presidency. The Filipinos will not be silenced anymoﾅ,,,,,,,
43,iSupportMRRD, RodyDu30: RT PHVote: Rody Duterte talking about Mar Roxas to Tacloban crowd: He cannot handle a crisis. #PHVote https://t.co/tdnNPVgWE0 | ﾅ,,,,,,,
44,iSupportMRRD, RodyDu30: RT Duterte4Pres16: Massive Tacloban crowd now at #PHVoteDuterte rally, saksihan https://t.co/lLlLZqPn7f Duterte #DuterteAko,,,,,,
45,iSupportMRRD, RodyDu30: RT Ideal_Views: Davao City takes centerstage in Duterte political ad  #PHVoteDuterte   via rapplerdotcom https://t.co/0OU7C32vfnﾅ,,,,,,,
46,iSupportMRRD, RodyDu30: RT PHVote: Large crowd in Tacloban cheers as Duterte hits Mar Roxas over gov't response to Yolanda. #PHVote ﾅ,,,,,,,
47,iSupportMRRD, RodyDu30: RT alfrederick_: Duterte supporters: the tumors that continue to infiltrate civilized political discourse in the country. - Josh ﾅ,,,,,,,
48,iSupportMRRD, RodyDu30: RT rapplerdotcom: Duterte: Maski Lumad, Kristiyano, Muslim, I have the solemn duty to uphold peace in this country. #PHVoteDutertﾅ,,,,
49,iSupportMRRD, RodyDu30: RT News5AKSYON: Motorcade ng Duterte-Cayetano tandem, umarangkada na sa Tacloban city #BilangPilipino https://t.co/N4pvMBrDBG | ﾅ,,,,,,
50,iSupportMRRD, RodyDu30: RT News5AKSYON: Libo-libong Duterte supporters, dumagsa sa public rally sa Tacloban city #BilangPilipino https://t.co/ATRJiBQ2Yvﾅ,,,,,,
51,iSupportMRRD, RodyDu30: RT jhoyski927: Duterte: It's the government itself that's oppressing the people.#PHVoteDuterte Duterte #DuterteAko,,,,,,,
52,iSupportMRRD, RodyDu30: RT jhoyski927: Live Stream: https://t.co/BgQvWDkWYkDuterte at RTR Plaza.. #PHVoteDuterte https://t.co/JypyiVZ6d3 Duterte #Dutﾅ,,,,,,,
53,iSupportMRRD, RodyDu30: RT jhoyski927: Duterte: Mga kapatid kong Muslim. Huwag muna tayong mag-away. Magkakapatid tayo. #PHVoteDuterte Duterte #DuterteAko,,,,,,,
54,iSupportMRRD, RodyDu30: RT jhoyski927: Duterte: Pag dinaya tayo, eh di magwala na kayo.#PHVoteDuterte Oh! yeah! Duterte #DuterteAko,,,,,,
55,iSupportMRRD, RodyDu30: RT PhilippineStar: Duterte arrives past 6:00; offers prayer to Yolanda victims with Cayetano. #BilangPilipino | iambertramirez ﾅ,,,,,,,
56,Loooovejackie, Sabi nila may anti-smoking law sa davao, iboboto ko na si duterte! <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>,,,,,,
57,BroadcastPH, BREAKING NEWS!: WATCH: Duterte on latest SWS survey: 'O wala na, talo na': MANILA - Presidential... https://t.co/mnhzodBC7r (from abscbn),,,,,,
58,newsphilippines, WATCH: Duterte on latest SWS survey: 'O wala na, talo na': MANILA - Presidential aspirant Rodrig... https://t.co/H75M70mFkd (via ABS-CBN),,,,,,
59,chuan_sheila, Rodrigo Duterte being welcomed with loud cheers from Eastern Samar supporters #Duterte2016 #Duterte #PHVoteDuterte https://t.co/hV0hrHHil7,,,,,,,
60,ndumaguit, Tone...delivery..choice of word...the way this student  convey his question is not academic...HIS MOTIVES IS... https://t.co/HGaqEqL2t1,,,,,,,
61,kimgreysu, @Kuya_duterte @PatamaPost AHHAHAHAHAH kaGV to,,,,,,,
62,jhonelmanangkil, @itsdtoruiz yan yung rason kung baket kailangan si duterte e.<ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>,,,,,,,
63,ninnalacierda," """"@Kuya_duterte: Sabi ni crush tetext niya daw ako pag-uwi. Puta wala ata siyang bahay"""" paasa <ed><U+00A0><U+00BD><ed><U+00B2><U+0094>",,,,,,,
64,socraticjvnkie, things i can't stand1. baby talk2. duterte's fans3. duterte,,,,,,,
65,meah_unilah," """"@Kuya_duterte: Sabi ni crush tetext niya daw ako pag-uwi. Puta wala ata siyang bahay""""",,,,,,,
66,rialanearriza, Duterte: Some questions at UPLB forum were 'a bit silly':https://t.co/KDMTFUNxpK via @ABSCBNNews,,,,,,,
67,Plethoric30, Which is more scarier Invasion of China Or electing a president nt named Duterte. If Bobotante wins  again. God help us all.!!!,,,,,,,
68,handsome_virgin, Love it !!! Duterte and santiago pala ang bet ng alter world <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>,,,,,,,
69,ascannyy, Grabe mag-react 'yung mga supporter ni Duterte. Di naman ganun kalala 'yung pagtanong ni Stephen kay Mayor eh. Pero pag kay Binay???,,,,,,,
70,chardy_obrero, The Change is now approaching. #Duterte https://t.co/rvOIx9g90w,,,,,,,
71,supericawaii, y was the student rude, u ask? he was blunt. last part of Q&amp;A, duterte was 1.5 hours late &amp; di concise sumagot so someone had to take charge,,,,,
72,RnSo, It felt so good putting a Duterte fan in her place. Such self-righteous indignation when she has not proven anything yet. lol!,,,,,,,
73,Moj_bae, Happy gud ak nga nkit'an ko hi Papa Duterte oi. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+008A> Thanky god <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>,,,,,,,
74,dongskie_, DuCay2016  Duterte pa din ang boto ko  https://t.co/3Kht9SkifS,,,,,,,
75,alyannaaavenice, @thalianese para patas. Nayakan pala duterte kanina, equality kuno hahaha kun ano bawal ha iya, bawal dapat ghap ha tanan hahaha,,,,,
76,sircmon," I liked a @YouTube video https://t.co/q3VMF4wVxm DUTERTE &amp; Co. in Tacloban featured """"live"""" on The NEXT FACTOR",,,,,,,
77,hindiakobanko, From...stephen villena( sya po un student from UPLB n nag tanong kay mayor Duterte) let us read nman un side nun... https://t.co/oA4Tjutyid,,,,,,,
78,usa_albarracin, Mayor DUTERTE live at TACLOBAN CITY,ITO BA SINASABING NG SWS NA PANG APAT LANG SA SURVEY???BALIW!SWS SURVEY... https://t.co/vnFnQ78up3,,,,,,
79,dongskie_, Duterte Cayetano supporters Wanchai stadium, Hongkong  https://t.co/VkkrBq277w,,,,,,
80,TakeoneBuyone, @meemeet10 @Ellesor_Lawin un prang my nkausap n isa. Akala nya lahat na https://t.co/t3uc7pZUaW #PHVoteDuterte,,,,,,,
81,RavenRchavez, mga kababayan mamili nalang kayo si poe or duterte 2 nalang ang pamilian nyo mas sigurado pa ang gaganda ng phinas kaysa kurap ang piliin,,,,,,,
82,PHINews1, This video has been making the rounds on social media. A UPLB student grilled Mayor Duterte in a forum. | Watch: https://t.co/wTNArSBvvi,,,,,,,
83,cathxnahcath, Mayor Rodrigo Duterte in Tacloban City You're my President <ed><U+00A0><U+00BD><ed><U+00B1><U+008A>#ParaSaPagbabago https://t.co/1E0bMNK61C,,,,,,,
84,PHINews1, Duterte to supporters: Be civil, intelligent, decent, compassionate https://t.co/mKnSj546VH #PHVote https://t.co/ElxtG5nrbN,,,,
85,ndumaguit, Common word after damage was done...no intention is not an excuse..rather this manifest a bigger... https://t.co/6iJIRHqJUf,,,,,,,
86,adriyummm, Rappler attempts to hold it against Duterte but ends up endangering a UPLB student. Media drives people crazy. https://t.co/1GHDeSjxNF,,,,,,,
87,BrianMesias2000, American poll speaker compares Duterte to Trump, Poe to Cruz https://t.co/O0cnbFgAlX via @YouTube,,,,,,
88,NeverDuterte, @cutechikkadoll Kapag nanalo si Duterte talo tayo dahil magiging immoral na leader ang maluluklok sa puwesto. Hindi pa kagalingan.,,,,,,,
89,susan_tismo, COINS.ph Ginagamit Sa Panlilinlang Ng Duterte Supporters https://t.co/PLD3cCx9Lv via @wordpressdotcom,,,,,,,
90,ecaiabarca, Kahit kanino mo pa gawin yun kahit hindi kay Duterte tataas talaga kilay ko sayo. Walang modo!,,,,,,,
91,PHINews1, WATCH: Boxer wears 'Duterte 2016' on trunks, gets knocked out https://t.co/gnDpRJLt5G #PHVoteDuterte #PHVote https://t.co/VFVRf24taB,,,,,,
92,jerometarriela, duterte supporters double standards. 1.)  Ayaw nila nababastos si Duterte 2.) defending him and being ok on having a kissing spree on women,,,,,,,
93,k_Nickie, marcopolodavao see you there Tita Maida at Maireen mayor duterteﾅ https://t.co/trF752dec0,,,,,,,
94,PHINews1, UPLB students to #PHVoteDuterte: Give us direct answers https://t.co/sKbrwmeKFq #PHVote https://t.co/Qu9bkdhCho,,,,,,,
95,mykryptonite8, always Duterte for President &lt;3,,,,,,,
96,BSiador, Wala daw tuwid na daan sabi ni Duterte puro daw kulubot. <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4> https://t.co/QnsYIfjUvM,,,,,,,
97,23playmaker, Pag mu daog si Duterte kami nalng mga goodboy ang mabilin :v :v,,,,,,,
98,RodyDuterte1, Tacloban is Duterte Country Daming Supporters parang Langgam! :)Credit : by Cinemotion Digital FilmsWATCH... https://t.co/fuKyRLv0Xx,,,,,,,
99,clint_cmac, On the one hand, Duterte did't feel disrespected because he understands the vigor of the youth but on the other... https://t.co/X7pxMEHL3d,,,,,,
