tellexcope, gay president(?) kopiko duterte uplb student bagong mang kanor...yehey for my country
HawHawWow, Kakanuod ko lang nung video nung UPLB Students vs. Duterte.Please! Tigilang niyo na yung student. Nasa UP siya, expect the unexpected.
EugeneLahorocks, sana di ko na lang pinanuod yung sa interview ng tga UPLB student. nabitin ako sa sinabi ni duterte pota
samiedos, Just watch the video of UPLB student questioned mayor Duterte.
whereisney, my timeline consists of tweets that are;whining about requirementsduterte @ UPLBcant find a matching header for an icon
Duterte24x7, UPLB student who disrespected Duterte receives death threat from supporter | https://t.co/0WJqzA9yda #PHVoteDuterte https://t.co/3iFGtSk2QW
dyoymamabear, Re: Stephen Villena (UPLB student) disrespecting Duterte* hindi pwedeng assertive lang? bastos na agad? *... https://t.co/iFuZKfWrOB
thetigeRAD, ""UPLB has started a tradition of roasting presidential candidates."" Interrupting Rodrigo Duterte via @rapplerdotcom https://t.co/0XjR3lNv7g
G_EMbuscad0, Kung sino ka man estudyante ka magpakamatay ka na! haha UPLB student:No intent to disrespect Duterte https://t.co/ZGrkPF8svY via @ABSCBNNews
EdJjamppong, I am not a  Duterte supporter &amp; I don't even like him but imho the way that UPLB student 'commanded' him to answer directly is disrespectful
yourfrantasy_, @josephthebragat watch the video brags. Search sa fb UPLB student disrespected Mayor Duterte. Mka hb!
cardiaoli, ""Davao City Mayor Rodrigo Duterte calls on the public to stop cyber-bullying of the UPLB student who was disrespectful of him.""
citizennacho, ...the problem was that he (duterte) was drunk during the UPLB forum
itschelsyg, SHATAP! <ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+00BB>UPLB student: No intent to disrespect Duterte https://t.co/rVcFxCq2Y3
_kthlnperez, Overheard  sa mga naglalakad kanina:""Binayaran daw ni Roxas yung taga-UPLB na estudyante na nangbara kay Duterte
comicalcasey, Duterte's 24 Oras interview re: the UPLB student comes on and suddenly the whole room is quiet with everyone focused on the television lolz
katringgay, Hay salamat Duterte! Ikaw na talaga ang presidente ko! So please STOP BASHING the UPLB student! #Duterte2016  https://t.co/kl5B8Jbk3x
24OrasGMA, Hindi raw nabastos si Mayor Rodrigo Duterte sa pagtatanong ng isang estudyante ng UPLB sa isang forum. Nakatutok si @tinapperez.
IamRlphhh, @gideon_hipolito the UPLB guy who disrespected Duterte.
eiyies, wala naman masama sa pagtatanong kay Duterte during fourm sa UPLB, kaso naman pre di mo patapusin muna si Digong magsalita. atat ka eh!
Ericaiiii, Tuwing nakikita ko sa feed ko yung taga UPLB student na nangbastos kay Duterte naalala ko talaga si Tapia. HAHAHAHA!
AisaDC, Wow #tvpatrol,saang part napikon si duterte sa uplb?Ung pasagot n bastos lng ang nireport nyo hindi ung pgknonsense ng tanong. #Duterte2016
bananance, Ngayon lang ako nagkaroon ng time basahin yung ilang posts and comments about the uplb x duterte issue. Ang irrational niyo naspeechless ako
wawam, Duterte's excuse for giving a dumb answer to the UPLB student' question: ""I didn't understand the question."" what? lmao. #2016PHVote
fuckyeahitsdan, WTF ABS-CBN?! SO ""NAPIKON"" SI DUTERTE AT BINAY SA MGA FORUM SA UPLB?! DID THEY EVEN SAY THAT, DO YOU HAVE ANY EVIDENCE?! SHOW ME THE VIDEOS.
pamreyessss, Anong pangalan nung UPLB Student na nagtanong kay Duterte? Angas mo brad ah, konting respeto naman. <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+00B6>
lesleyardelle, Just saw the footage of the UPLB student questioning Duterte. I don't get it. Why is it bullying? Digong didn't answer his question!
TVPatrol, #TVPatrol Duterte, pinakalma ang supporters matapos ma-bully ang isang UPLB student #Halalan2016 @DorisBigornia https://t.co/hjo169FPho
paOkyouALL, Ang hambog nung taga UPLB na nagtanong kay Duterte...walang respeto...
FishfilLec, asar na asar ako sa uplb na student na to eh di man lang ginalang si duterte kahit konti lang di parin kaasar
bojoytotheworld, i can support Duterte without being mean to people who don't like him. sad fact,bigots exist.to the UPLB student,hope you're strong enough
RnSo, Duterte fans are cyber bullying the UPLB student. They want him dead. Yipes!
Noel_Dolor, @peterlavina thanks for your message on that UPLB incident. Rudy Duterte still deserves respect when being asked questions from students
imryansmontilla, UPLB student na binastos si Mayor Duterte ~ Post and Earn by Ryan Solo Montilla - Making Money... https://t.co/JC7ypS6Hge
Francescaagn, Pati ba naman sa ganjou usapang duterte - uplb pa rin :--------)
dzrhnews, UPLB student issues statement on Duterte incident https://t.co/wXCBYUNoai
Gmacalinga, Puro UPLB Duterte??? *logs out*
Kenyunik, sabi na ehh, binayaran ung nambatikos na UPLB student kay duterte eh! :/
toots069, Response to q was non-responsive that's why - UPLB student: No intent to disrespect Duterte https://t.co/aDHewIbmx1 https://t.co/s0JuwRmO4i
COlesterOL27, People hating the UPLB student for ""disrespecting"" Duterte. Well, how 'bout you disrespecting the other presidentiables especially Binay?
tenrenti, Kung ayaw nyong igeneralize ang uplb students. Pwede wag nyo rin igeneralize ang Duterte supporters? Nasasaktan ako. Wow? Hahahaha
News5AKSYON, #Tv5Aksyon | Pagtatanong ng isang estudyante ng UPlb kay Mayor Rodrigo Duterte, umani ng batikos. Umaaksyon si @junyeeloyola #BilangPilipino
bicoltoday, Tama lang na tanungin ni Villena si Duterte hinggil sa education budget, ayon sa Anakbayan https://t.co/9dSTutkZKb
anirehsa, @queenbraces ayieee namiss nya ko hahahaha chill lang ako babe yung UPLB student yan na wagas makapagtanong kay Duterte
cideeeee, YOKO NA PAGOD NA KO https://t.co/mDUDKcYAXx
Trent_Warner, #Disrespect#Characte UPLB student 'disrespectful' to Duterte breaks silence https://t.co/pX0z2SwNjx #CharacterLeader.com
Kathneko, Teacher Gelo's Blog: Mayor Rodrigo Duterte, Confronted by a UPLB Studen... https://t.co/TNp2q1NXtR
Gelay___, Yung nambastos kay Duterte sa UPLB very wrong.
Tony88981, Rude UPLB Student Who Slammed Mayor Duterte Was Allegedly Paid By Another Presidential... https://t.co/zCyZdJA9ri
jammydsntknw, Just saw the Duterte-UPLB Student vid. Im for Duterte on this one. Isko got so much spunk wala na sa lugar.
supericawaii, anywayduterte disrespects women and no one bats an eye. one UPLB student """"""disrespects"""""" duterte and everyone goes wild
gellyjeon, And to these duterte supporters throwing hurtful words like bobo, tanga etc. to the UPLB student. What do u want from that student again?
juan_cruz_2014, @avemaria184 @ABSCBNNews but that UPLB student should have let Duterte finish his answer. Even TV hosts don't dare interrupt the guest.
ee_bane, i wish i was brave like the uplb student who messed with duterte. hahaha.
