46,dleni,"Post-debate analysis: Now mentioning Tacloban 
#Pilipinasdebates"
47,raielalvaro,"Leni is very firm on what she believes in. She has concrete plans. Indeed, may the best woman win! #LeniIsMyVP #LabanLeni #PiliPinasDebates"
48,kinoescolano,Lumipat na pala sa CNN Philippines sina Pia Hontiveros at Pinky Webb. #PiliPinasDebates
49,camilleloraine,A leader that looks at the future and not with the past. Very well said #VPMarcos #PilipinasDebates #BBM #Marcos <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>
50,tokensoutherner,Leni Robredo &gt; Grace Poe... in so many ways. #MayTheBestWomanWin #PiliPinasDebates
51,followEdward,"Belligerent! <ed><U+00A0><U+00BD><ed><U+00B8><U+00A8>
#nosebleed #PiliPinasDebate2016 #PilipinasDebates #BBM"
52,AbanteNews,"Robredo: Isa po akong ina, hindi ko po pababayaan ang aking mga anak, ang aking mga kababayan.
#PiliPinasDebates #AbanteHalalan2016"
53,shootsomefar,"Haaay, ang gulo, ang saya. Ang haba lang ah, wala pang sinaing! #LOL
.
#PilipinasDebates #Eleksyon2016"
54,aceevitangcol,"GOOD JOB, PINKY WEBB, PIA HONTIVEROS, CNN PHILIPPINES. GALING! #PiliPinasDebates"
55,ambrose7107,Thank you @cnnphilippines @iampinkywebb @piahontiveros et al. #PiliPinasDebates
56,PTVph,#PiliPinasDebates VP LEG: Ang kailangan po natin ay isang Vice President na buo ang tapang. - Sen Trillanes.
57,AbanteNews,"Robredo: Isa po akong ina, hindi ko po pababayaan ang aking mga anak, ang aking mga kababayan. #PiliPinasDebates #AbanteHalalan2016"
58,erlmizlai,Well said Sen. Escudero. #PiliPinasDebates humble forevs
59,_knowwell,"""Excited na akong manalo, para sa mga kababayan nating umaasa."" #LeniIsMyVP #PiliPinasDebates"
60,PTVph,#PiliPinasDebates VP LEG: Maliwanag na ang dahilan kung bakit ako narito ngayon. Buong buhay ko ay paghahanda.... https://t.co/z2p13xf3fT
61,ElleInfaaante,Unite not to divide. Look to the future not to the past. Sabay sabay humaharap sa kinabukasan -Sen Marcos #PiliPinasDebates @ideasmatterUST
62,ronneldc8,SOLID BBM! #BBM #PiliPinasDebates
63,PTVph,#PiliPinasDebates VP LEG: What the country needs now are new leaders. - Sen Marcos
64,mjepvillanueva,Go go go! #BBM4VP 2016 @CNN philippines #pilipinasdebates 2016 for vice presidentiables
65,0TENG,Who's coughing deliberately near the camera? In disagreement to the speaker? #PiliPinasDebates
66,PTVph,#PiliPinasDebates VP LEG: Hindi natin puwede hiwalayin ang bansa sa ating pamilya. - Sen Honasan
67,seejayegrc,Chiz tama na papogi pwede? -.- #PiliPinasDebates
68,PTVph,#PiliPinasDebates VP LEG: Sa dulo ang halalan ay tungkol sa inyo. - Sen Escudero
69,PTVph,"#PiliPinasDebates VP LEG: Nais ng Pilipinas na walang korupsyon, krimen at droga.  Yaan po ang gusto namin gawin... https://t.co/IEIRq2bJBq"
70,PTVph,#PiliPinasDebates VP LEG: why should the Filipinos vote for you?
71,PTVph,#PiliPinasDebates VP LEG: Gusto ko magfocus sa informal settlers. - Rep. Robredo
72,PTVph,#PiliPinasDebates VP LEG: Hihingin ko po na ako ang magpatakbo ng DOLE kasi marami ang matutulungan. - Sen Marcos
73,telecasterdream,Ang bilis mo manay Leni lol. #PilipinasDebates
74,malasakitpinas,#MalasakitKontraPasakit Cayetano: I don't need a cabinet position just let me make sure that our plans will be delivered. #PiliPinasDebates…
75,PTVph,#PiliPinasDebates VP LEG: Hindi dapat tignan na spare ang position ng Vice President - Sen Escudero
76,ambrose7107,@keiostheory Telecommuncation companies competition in a Monopoly way. Haha #PiliPinasDebates
77,PTVph,#PiliPinasDebates VP LEG: Agenda setter - bastonero. I Don't need a cabinet position. I never looked at any... https://t.co/GIFKPwowOq
78,JandellG,"Dear Trillanes, please spare our country. 

#PiliPinasDebates  https://t.co/zyp2anxhyg"
79,shootsomefar,"Cayetano: No plan to run for the presidency... for now. 
.
Well, try mo muna ipanalo ang VP. Good luck.
.
#PilipinasDebates #Eleksyon2016"
80,PTVph,"#PiliPinasDebates VP LEG: Nais ko maging DILG secretary para matutukan ang peace and order, best practices in LGUs. - Sen Trillanes"
81,chinchinsntg,Cayetano and everybody else caught flip-flopping on that presidential ambition question. #PiliPinasDebates
82,PTVph,#PiliPinasDebates VP LEG: Only Sen Trillanes refused to answer the question on any plans to run for the... https://t.co/Ql8GXOfsT7
83,PTVph,#PiliPinasDebates VP LEG: Ano man relasyon na ugnayan sa Pilipinas at America dapat pantay - o on equal footing.... https://t.co/I50uk9z90W
84,Inocenc1Maurice,@leahcadag #PiliPinasDebates https://t.co/cgGbUSfyoc
85,ambrose7107,"@keiostheory yes. See, katulad natin ang internet speed ng afgha. Nakakahiya. Haha. Hindi excuse ang pagigng archipelago #PiliPinasDebates"
86,PTVph,#PiliPinasDebates VP LEG: i have no interest in waging war against any country. - Sen Marcos
87,greyhayden,Bakit super extra crispy kulay ni Bongbong ngayon? Nasusunog na... #pilipinasdebates
88,PTVph,#PiliPinasDebates VP LEG: We are doing what is for our nation's interest and not for washington nor beijing. - Sen Marcos
89,PTVph,#PiliPinasDebates VP LEG: What is your message to the next US President?
90,PTVph,"#PiliPinasDebates VP LEG: Dahan-dahan dapat paigtingin ang partnership with ASEAN, Japan and Korea.  dapat hindi... https://t.co/0VTnIdkRic"
91,PTVph,#PiliPinasDebates VP LEG: Sang-ayon ako sa ginawa na naayon sa UNCLOS. Kailangan din palakasin ang military.... https://t.co/07pgXHdpQP
92,PTVph,#PiliPinasDebates VP LEG: How would you deal with South China issue?
93,PTVph,#PiliPinasDebates VP LEG: Final stretch - foreign policy
94,johansalarda,Parang si Cayetano yung klasmeyt kong gumagawa ng mga assignments ng mga bully para hindi mabully. #DiaryOfAWimpyKid #PilipinasDebates
95,EJ_Cubero,"Sigurado kaba sa fiber optics na yan CHIZ? Panindigan mo yan! <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4>
#PilipinasDebates — watching CNN Philippines"
96,PTVph,#PiliPinasDebates VP LEG: All Vice Presidentiables believe TelCos should be held accountable for what they are supposed to be delivering.
97,PTVph,#PiliPinasDebates VP LEG: Ang NTC hindi pa binibigay pa ang bndwidth at frequency.  Anim na taon na ang... https://t.co/homPHkFL0C
98,PTVph,#PiliPinasDebates VP LEG: I-rationalize natin ang foreign component. Single platform para maregulate. - Sen Honasan
99,ambrose7107,"Electronic communication systems/equipments r too costly - iilan lang ang local manufacturers (semicon, et al.) natin dito #PiliPinasDebates"
100,PTVph,"#PiliPinasDebates VP LEG: Kapag mabilis ang internet sa Pilipinas, hindi na kayo tatawag at magtetext. Maglalatag... https://t.co/qcwxjNqChi"
101,PTVph,"#PiliPinasDebates VP LEG: Pag hawak ng funders ang politiko, wala kayong asensyo. - Sen Cayetano"
102,jrmntrrl,Pag lang walang nabago sa Internet na yan aynako kayo ha' #PilipinasDebates
103,iamTRVR,Watching #PiliPinasDebates
104,PTVph,#PiliPinasDebates VP LEG: Kailangan natin ang NTC na may free market concept. - Sen Trillanes
105,PTVph,#PiliPinasDebates VP LEG: Lack of regulation. Lack of competition. Lack infrastructure. - Rep. Robredo
106,daniellemxm,Oh good good usapang internet #PiliPinasDebates
107,PTVph,#PiliPinasDebates VP LEG: moving on to internet connectivity (slow and expensive)
108,PTVph,#PiliPinasDebates VP LEG is top topic worldwide. https://t.co/KQdSw4960T
109,immaolayan,Please audience. Nanood kami hindi para marinig ang mga boo niyo. #PiliPinasDebates https://t.co/Bq9X0XZVUg
110,IamEcatina,"like eu trains. transcontinental platforms are the best. 

. Luz-viz-min train stations #PiliPinasDebates  https://t.co/wr7mCgRTyo"
111,ambrose7107,Slow clap for these two gorgeous ladies @iampinkywebb and @piahontiveros :* #PiliPinasDebates
112,maria_ressa,Real-time results: Senti analysis @rapplerdotcom https://t.co/6BaRrIutsM How do people feel about VP candidates? #PHVote #PiliPinasDebates
113,HRHPRINCENAP,Sen. Escudero rhetoric king. #pilipinasdebates
114,Pattatouie,OMG!!! interne! #PilipinasDebates
115,PTVph,#PiliPinasDebates VP LEG: We must stop politicising land use. - Sen Honasan
116,PTVph,#PiliPinasDebates VP LEG: All Vice Presidentiables agree to fight for lower income tax
117,ronneldc8,Jusko Chiz! Baka naman magtaka ka pa kung bababa ang rank mo 7a mga surveys ha! #PiliPinasDebates #BBM
118,melancholeolist,"Despite Marcos' past, I still salute him on being prepared for each question about his fam. //even if he's getting roasted #PiliPinasDebates"
119,PTVph,#PiliPinasDebates VP LEG:nandiyan lahat ng plano pero hindi pinapatupad. - Sen Escudero.
120,MsNissiBollong,#PilipinasDebates
121,PTVph,"#PiliPinasDebates VP LEG: Railway transport system, bus rapid transport system. - Rep. Robredo"
122,domarjosh,Filed 152 bills filed and co-authored and 9 passed into law within 3 years? Only LENI ROBREDO! #LeniIsMyVP #PiliPinasDebates
123,PTVph,#PiliPinasDebates VP LEG: Development and modernization of railway system. - Sen Trillanes.
124,THISisDGameO,Why can't we have the common tao to enagage our politicians in vice/presidential debates instead of known personalities? #PilipinasDebates
125,ambrose7107,Mas alam ni Leni ang Realidad. #PiliPinasDebates
126,daniellemxm,Sorry but Marcos really have a point!!!! #PilIPinasDebates
127,MissLogro,"Hala, intense! #PilipinasDebates #VicePresidentialDebate #CNNPhilippines"
128,PTVph,"#PiliPinasDebates VP LEG: Ilabas ang mga tanggapan, at negosyo (mula sa metro Manila) para maging solusyon sa decongestion. - Sen Marcos"
129,marcmalibiran,Bagay pala si Chiz mag report ng horoscope. #ZenaidaSeva #PilipinasDebates https://t.co/vy2o9WSZXf
130,daniellemxm,"Bagay talagang partners si Poe at Escudero, matalinhaga magsalita!! #PiliPinasDebates"
131,PTVph,#PiliPinasDebates VP LEG: Idadag ko: dapat simulan sa liderato sa DOTC. Tanggalin si Sec Abaya. Maging istrikto... https://t.co/pVlEedHGTz
132,daniellemxm,Cayetano puro ka Davao di ka naman naging leader or something dun. At nagkukwento ka pa?! Debate to hindi story telling #PiliPinasDebates
133,ardeepineda,There was an article in @inquirerdotnet that Mr.Habito wrote about traffic decongestion. The candidates better read that #PiliPinasDebates
134,PTVph,#PiliPinasDebates VP LEG: Ang mga plano nila nasa JICA at other master plan na hindi pa nagagawa. - Sen Cayetano
135,deguzmanchad,EARLIER: Anti-Marcos hecklers escorted out of #PilipinasDebates hall. | by @bernard_tv5 #BilangPilipino https://t.co/XN3XAGebWN
136,PTVph,#PiliPinasDebates VP LEG: Ilipat ang Kapitolyo sa Pampanga o Nueva Ecija. Nagawa na ito sa Malaysia para... https://t.co/kKdPMFbwtr
137,meagan_alegado,Alan's killing it! #pilipinasdebates #ducay
138,daniellemxm,Ganda ng sagot ni Marcos!!! #PiliPinasDebates
139,PTVph,#PiliPinasDebates VP LEG: Ayusin ang mass transport system. Drivers dapat de sahod na. Ayusin ang PNR.... https://t.co/TGR5qa5GlM
140,isaavendanoDZIQ,"Hindi pa man tapos ang #PiliPinasDebates 2016 ng mga VP candidate, KUDOS sa @cnnphilippines! Ang linis, maayos ang debate!"
141,JULESguiang,Straight from the son of the dictator. #BBM lol #PiliPinasDebates https://t.co/33YaqFHwv1
142,PTVph,#PiliPinasDebates VP LEG: We must decongest the city (Metro Manila). - Sen Marcos
143,shootsomefar,"Kapag turn na ni Honasan or Trillanes magsalita, para na ring may commercial break. #LOL
.
#PilipinasDebates #Eleksyon2016"
144,PTVph,#PiliPinasDebates VP LEG: Bawasan ang sasakyan sa kalsada. Pagandahin ang public transport system - Sen. Marcos
145,PTVph,#PiliPinasDebates VP LEG: Land-use planning. Systematic long-term planning. Holistic approach. - Sen Honasan
146,PTVph,#PiliPinasDebates VP LEG: moving on to crippling traffic
147,1059_BalitaFM,"Trillianes said it is not true there is no crime in Davao and in Taguig.
#PilipinasDebates"
148,Shehshe21,Ang gagaling nila sumagot ah. Clap clap!<ed><U+00A0><U+00BD><ed><U+00B1><U+008F> #PiliPinasDebates #VicePresidentialDebates
149,ambrose7107,@lomi_pugo I ship AlMar bitter couple at nagmamaasim. #PiliPinasDebates
150,ambrose7107,Aldub tvAd during cnn's VP debate . Enebe. #PiliPinasDebates
151,PTVph,#PiliPinasDebates VP LEG: All Vice Presidentiables agree to push measure on Climate Change
152,ejgpajaro,Punyemas lang talaga kasi yung Dec. 31 deadline. Kasi it's impossible to turn a country into a utopia w/ zero crime rate. #PiliPinasDebates
153,PTVph,#PiliPinasDebates VP LEG: Sinabi niya yun sa harap ng mga ilocano and he is being playful. Hindi ko tatanggapin yan. - Sen Cayetano
154,mohdsarj1,Medyo na-burn ni Marcos si Cayetano dun. #PiliPinasDebates
155,ambrose7107,Chameleon #PiliPinasDebates
156,eyreaffairs,It's like watching The OC on acid. #PiliPinasDebates
157,kyflo,WTF Alan? Mukhang tanggal na siya sa choices ko. #PiliPinasDebates
