44,dnumyaraves,"Ihain nyo na lahat ng mga artista sa POLITICAL AD nyo
Di pa rin namin kayo iboboto!

#MiriamUtakAtPuso"
45,sel_pia,"""We need to engage and empower our people in the pursuit of excellence."" #MiriamUtakAtPuso"
46,njregio,"""Paramihan ng notes? Paramihan ng followers? Paramihan ng tweet? Hindi. Paramihan ng suporta kay MDS."" #MiriamUtakAtPuso #MIRIAM2016"
47,sel_pia,"""The world is fast-changing and an excellent worker today can become obsolete tomorrow."" #MiriamUtakAtPuso"
48,sel_pia,"""We need to continually train people to become excellent."" #MiriamUtakAtPuso"
49,Miriam_PaRin,"need more volunteers para palakasin ang campaign ni MDS <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>
#MIRIAM2016 
#MiriamUtakAtPuso 
#SiMiriamAngSagot https://t.co/4UhsXAzitZ"
50,jlogiebear,#miriamutakatpuso
51,sel_pia,"""We need training for values."" #MiriamUtakAtPuso"
52,IncredibleCarlo,"May nagcomment sa DP('I am for Miriam!') ko: 

#Miriam2016 
#MiriamUtakAtPuso #SiMiriamAngSagot https://t.co/q44mTjQ910"
53,njregio,"""Sa pag-ibig, my only choice is to move on. Sa pagka-presidente, my only choice is MDS."" #MiriamUtakAtPuso #MIRIAM2016 #BakitSiMiriam"
54,sel_pia,""" If we do not step up, what will happen to us?"" #MiriamUtakAtPuso"
55,coolz_182000,@senmiriam #MiriamUtakAtPuso .... God Bless you po Madam Miriam....
56,sel_pia,"""Managers may say that the pressure from peers not to excel make employees content to perform like the rest."" #MiriamUtakAtPuso"
57,RavenCaisip16,I am very honored to see her in person. One of the greatest Filipina of our generation. @senmiriam #MiriamVisitsUPLB #MiriamUtakAtPuso
58,nylrej1510,#MiriamUtakAtPuso solid!
59,sel_pia,"""Psychologists might say Filipino parents do not really push their children to achieve."" #MiriamUtakAtPuso"
60,daguob10,Anong mas maganda: Sundin mo ang puso mo at piliin mo sya O Sundin mo puso mo dahil sinabi ng utak mo na Sya na Talaga? #MiriamUtakAtPuso
61,geofelgaleos,#MiriamUtakAtPuso https://t.co/go30uZ4dgs
62,sel_pia,"""Economists might say that our lack of pride as a people is connected to our poverty and slow economic growth."" #MiriamUtakAtPuso"
63,sel_pia,"""Sociologists might say that our colonization made us feel inferior as a culture."" #MiriamUtakAtPuso"
64,njregio,"""What made you happy once might not make you happy now."" For those who are ignoring MDS. #MiriamUtakAtPuso #MIRIAM2016 #BakitSiMiriam"
65,sel_pia,Many Filipinos are happy with “okay na” or “puwede na yan.” #MiriamUtakAtPuso
66,sel_pia,"""You would think that everyone would want to become excellent. But this is not so."" #MiriamUtakAtPuso"
67,for__keeps,"@kimpoyfeliciano Team Miriam! hahahaha :D

#MiriamUtakAtPuso"
68,sel_pia,"""Self-leadership should lead to excellence. “Excellent” means being superior or being first class."" #MiriamUtakAtPuso"
69,renereeve,@auztine18 Retweet lang ng retweet baka dito ko na siya makilala. Isang taga suporta ni senadora. #MiriamUtakAtPuso
70,sel_pia,"""Self-leadership, in other words, is coaching yourself."" #MiriamUtakAtPuso"
71,sel_pia,I will summarize the meaning of self-leadership as the modern equivalent of the famous command by Socrates:“Know thyself.” #MiriamUtakAtPuso
72,njregio,"""Hindi mo kailangan maging matalino ka. Di mo kailangan maging perfect para gustuhin ka. Pero MDS, yun ka na talaga."" #MiriamUtakAtPuso"
73,sel_pia,The simple definition of self-leadership is: “The process by which you influence yourself to achieve your objectives.” #MiriamUtakAtPuso
74,ErronHernandez_,"Trump = Duterte 
Trudeau = Miriam Santiago

#MiriamUtakAtPuso 
#Switchers2Miriam"
75,johnarvinjavier,"@senmiriam Thank you so much po sa pagbisita. Looking forward in seeing you again soon. God bless po! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>
#MiriamVisitsUPLB
#MiriamUtakAtPuso"
76,ibol5534,"#MiriamUtakAtPuso
#LagunaIs4Miriam
#MIRIAM2016
#Switch2Miriam
#PHVoteSantiago https://t.co/SyIt6F9gXv"
77,cathyrain19,"Lets not be a victim of dirty politicians. Bring back the Iron Lady. YES to Miriam! #MiriamUtakAtPuso
#SwitchToMiriam"
78,njregio,"""Pag si MDS sinayang mo, para ka na ring humikab. NGANGA ka na, maluluha ka pa."" Tam-is! #MiriamUtakAtPuso #MIRIAM2016 #BakitSiMiriam"
79,jeekz25,Why impose fear when you can earn their respect? #MiriamUtakAtPuso
80,ibol5534,"#MiriamUtakAtPuso
#LagunaIs4Miriam
#MIRIAM2016
#Switch2Miriam
#PHVoteSantiago https://t.co/ZJeKUWW1f6"
81,jeekz25,I saw something on FB saying that intelligence is futile if you can't impose fear in your subordinates -_-  #MiriamUtakAtPuso
82,Hernalyn1,@senmiriam Your The Most Effectual Leader For All <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><U+270C><ed><U+00A0><U+00BD><ed><U+00B1><U+00
83,jed_jelo,Matipid at Praktikal dun tayo kay @senmiriam ! #MiriamUtakAtPuso  https://t.co/RMdrmuamom
84,choochoo71615,Nakakatuwa! Hnd mababakas sa kanya na may sakit sya. Go Miriam! #MiriamUtakAtPuso https://t.co/m1B82Ki57V
85,geofelgaleos,"Democracy will not be sham anymore. 

#MiriamUtakAtPuso"
86,cathyrain19,I want to be a part of that 3% who voted for her. I want to be one of those few people dat would say: SHE'S WORTH IT. #MiriamUtakAtPuso
87,pfeffergewurz,"In Marvel universe @senmiriam =Professor X
 #SayItwithMarvel #SmartParenting  #Analogy #MIRIAM2016 #MiriamUtakAtPuso https://t.co/eROow9DPlN"
88,for__keeps,"Let's participate guys &amp; make use of this opportunity to ask questions or seek clarifications. 

#MiriamUtakAtPuso  https://t.co/x2zjZKAVXj"
89,aceomakDT21,#MiriamUtakAtPuso  karapatan ng mga OFW
90,nixonapun,Real change is coming with @senmiriam if we give her the chance to do it as President of the Philippines. #MiriamUtakAtPuso
91,aceomakDT21,#MiriamUtakAtPuso Isinusulong ang karapatan ng mga Biker!
92,aceomakDT21,"#MiriamUtakAtPuso isinusulong ang karapatan ng LGBT ,hindi pangalang naaprubahan"
93,danchan0680,Buti pa yung sinusuportahan mo bilib sa kanya.. #Switch2Miriam #AngatTayoKayMiriam #MiriamUtakAtPuso  https://t.co/lTkLF21Fzt
94,ZidRoxas,Pag si mar/ binay talaga nanalo magkaka EDSA revolution 3 sa pilipinas <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #MiriamUtakAtPuso miriam2016
95,njregio,"""Minsan sapat na yung ikaw lang yung nagmamahal, pero kay MDS dapat lahat nagmamahalan, nagtutulungan at nagkakaisa."" #MiriamUtakAtPuso"
96,Arbis_JR,Sana may Divine Intervention this night. #MiriamUtakAtPuso
97,prettyczane,"From the student na naroon mismo sa event. It was ""Q and A"" ang sinisigaw nila. Wag assuming. #MiriamUtakAtPuso https://t.co/jQ02WAbeuW"
98,aceomakDT21,#MiriamUtakAtPuso Pro LGBT
99,aceomakDT21,#MiriamUtakAtPuso  gumawa ng Batas Para sa Kababaihan!
100,Arbis_JR,"Kaya nating maipanalo si Miriam, basta stay strong, active and devoted! #MiriamUtakAtPuso"
101,aceomakDT21,#MiriamUtakAtPuso  Presidente dapat nating Lahat
102,BordsFabila,#MiriamUtakAtPuso https://t.co/5eJirr5A3J
103,PVTGuru,"#MiriamUtakAtPuso 
#Miriam2016 
#SiMiriamAngSagot https://t.co/rAbOjmoxJ5"
104,aceomakDT21,#MiriamUtakAtPuso Presidente ko
105,nixonapun,I love @senmiriam today more than ever. #MiriamUtakAtPuso
106,enixeal,Sana magtulungan nalang ang mga kandidato pagkatapos ng eleksyon. Lahat naman sila magaling eh. Tulungan nila si Miriam. #MiriamUtakAtPuso
107,aceomakDT21,#MiriamUtakAtPuso Maipag mamalaki sa ibang bansa
108,Arbis_JR,"Ang tunay na tanga, si Duterte ang binibida! #MiriamUtakAtPuso"
109,ClienKevin,"Si miriam ang sagot 
#MiriamUtakatPuso"
110,Arbis_JR,"Kung Pilipino ka, kay @senmiriam ka! #MiriamUtakAtPuso"
111,aceomakDT21,#MiriamUtakAtPuso  Pusong Bato sa mga Sumusuway sa Batas
112,XianMen13,"""Believe on what your are believing, we will believe on what we know is right!""

#SiMiriamAngSagot #MIRIAM2016 #MiriamUtakAtPuso"
113,Arbis_JR,Crab Mentality nga talaga businesa sector and politicians. Madadaya!! #MiriamUtakAtPuso
114,njregio,"""Ako yung tipo ng taong mababaw ang kaligayahan pero malalim ang suporta sa aking kandidata."" (Mag-rhyme lang talaga lol) #MiriamUtakAtPuso"
115,XianMen13,"Its really sad that instead of praying of her health, people starts KILLING her.
#SiMiriamAngSagot #MIRIAM2016 #MiriamUtakAtPuso"
116,aceomakDT21,#MiriamUtakAtPuso may Puso sa mamamayan
117,sel_pia,"""Let us face the future without flinching and with full faith and confidence that God will be our guide in our country."" #MiriamUtakAtPuso"
118,aceomakDT21,#MiriamUtakAtPuso International Level
119,nixonapun,"@joncatao93 @PapaJackAdvices: I feel you but @senmiriam is strong,&amp; needs our votes more than anything else now. #MiriamUtakAtPuso :)"
120,aceomakDT21,#MiriamUtakAtPuso
121,Arbis_JR,"Kapwa Pilipino, ginagawang tanga ng media at mga korporasyon. Mukhang pera talaga! #MiriamUtakAtPuso"
122,mikkel0715,Ang kandidato na gumagastos ng malaki ay magnanakaw ng matindi! #MiriamUtakAtPuso https://t.co/C7AtB15QWV
123,jlcometa,"Ops, our question would be: Paano n'yo mababawi ang ginastos n'yo? We need a concrete explanation. #MiriamUtakAtPuso https://t.co/qTdOiOODFD"
124,aceomakDT21,#MiriamUtakAtPuso  Seize this opportunity.
125,njregio,"""Modus yan. Sasabihin laglag ka sa survey pero ang totoo nangunguna ka. Nangunguna ka sa puso ko MDS."" #MiriamUtakAtPuso #MIRIAM2016"
126,aceomakDT21,#MiriamUtakAtPuso  We can change the system
127,mikkel0715,#MiriamUtakAtPuso  1
128,amigoalvin,"The only candidate not linked to the aquino's is Miriam. Pdp laban is co-founded by Cory Aquino.
#MiriamUtakAtPuso"
129,MDSforpres,"ISIP, PILIPINAS! #MiriamUtakAtPuso #PHVote #PHVoteSantiago  https://t.co/upWq67EoH2"
130,sel_pia,"""Magtulungan tayo. Let’s have a sense of shared destiny, not shared destruction. ‘Yan ang problema sa Pilipinas eh."" #MiriamUtakAtPuso"
131,njregio,"""May mga bagay na hinahayaan nalang natin sa iba kasi mas mukhang ok pang ganun. But without MDS, di ako masaya."" #MiriamUtakAtPuso"
132,rynxtn,Look #MiriamUtakAtPuso  https://t.co/yqc0WQNZzo
133,for__keeps,"Everyone's talking about fighting ""corruption"" but who's actually walking his/her talk?

#MiriamUtakAtPuso       https://t.co/99OwDIByhB"
134,renereeve,"May nakita akong gwapo sa 7/11 kanina. Tapos sabi ko sa kanya, ""Miriam ka rin? Nice! Brofist!"" #Cheret #MightAsWell #MiriamUtakAtPuso"
135,sjdgvail,Definitely the reigning campus queen!!! <ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B1><U+0091> #Miriam2016 #SiMiriamAngSagot #MiriamUtakAtPuso #MiriamVisitsUPLB https://t.co/GId4Ob2pCS
136,Arbis_JR,"Sa dinami dami ng pwede hulugan ng kabobohan at katangahan, dito pa talaga sa Pinas? Mga Blind!! #MiriamUtakAtPuso"
137,SamSideup,"Platapormang malinaw at organisado, may plano para sa agrikultura, ekonomiya di lang sa krimen at droga! #MiriamUtakAtPuso"
138,CEArsenal09,#MiriamUtakAtPuso
139,sel_pia,"""Third, we will keep government deficits manageable by keeping it below three percent of gross domestic product (GDP)."" #MiriamUtakAtPuso"
140,iamjannp,#Switch2Miriam #MiriamUtakAtPuso https://t.co/AWsr5hNNAU
141,choochoo71615,Twitter party na uli!!! #MiriamUtakAtPuso
142,sel_pia,"""We will hit the ground running on Day One (July 1st 2016). But there will be no slowdown in government operations."" #MiriamUtakAtPuso"
143,avaliciouszzz,#MiriamUtakAtPuso https://t.co/Kdm2rZJJnr
144,sel_pia,"""A Task Force will be created for each major department as soon as we get elected."" #MiriamUtakAtPuso"
145,EcE_Guemo,"Dati 3%, ngayon 2% na lang pero taliwas sa result ng College &amp; University surveys. BIASED/di kasi accurate ang survey nila #MiriamUtakAtPuso"
146,jlcometa,"Para kayong si Lord kung makasabing mamamatay na si Tita Miriam, wag kayong ano. :P #MiriamUtakAtPuso #Miriam2016 #SiMiriamAngSagot"
147,sel_pia,"""We will start by conducting a swift review of ALL programs and projects of government."" #MiriamUtakAtPuso"
148,sel_pia,"""Second, we will right-size government."" #MiriamUtakAtPuso"
149,renereeve,Mas naniniwala ako ngayon na nasa ikalawang pwesto  para sa pagkapangulo si Miriam Defensor Santiago! #MiriamUtakAtPuso
150,phoebustaiyo,"#MiriamUtakAtPuso A president who recognizes your potential, not for her gain or credit.  https://t.co/MdX1P6OVtr"
151,njregio,"""No expectations, no disappointments. No pain, no gain. But if there's MDS, there's peace and development."" #MiriamUtakAtPuso #MIRIAM2016"
152,sel_pia,"""First, we will reform the tax system, making it simpler to administer, and in sync with our ASEAN-5 competitors."" #MiriamUtakAtPuso"
153,hellasheila,"@ForMiriam123 #MiriamUtakAtPuso 

Bagay na bagay!!"
154,sel_pia,"""First, we will reform the 19-year old tax system, making it fairer, more responsive to changes in the economy."" #MiriamUtakAtPuso"
155,iancarlo_santos,@felixdicats Hindi ko sasayangin oras ko sa kanya. His nothing compared to #MiriamUtakAtPuso
156,sel_pia,"""We will run the government’s finances responsively."" #MiriamUtakAtPuso"
157,ChillannKirk,No to DUTERTE #MiriamUtakAtPuso
158,sel_pia,"""My administration will aggressively fight the war against illegal drugs."" #MiriamUtakAtPuso"
159,sel_pia,"""They will feel secure at home, on the streets and their place of work."" #MiriamUtakAtPuso"
160,phoebustaiyo,"I think this is what crooks and crocodiles fear. Success is earned, not stolen. #MiriamUtakAtPuso  https://t.co/JRDA7xi6fx"
161,amigoalvin,"Apolinario Mabini is a notable hero. They are both physically imperfect but has lead the nation effeciently
#MiriamUtakAtPuso #MIRIAM2016"
162,sel_pia,"""The Filipino people will feel secure under my administration."" #MiriamUtakAtPuso"
163,njregio,"""Yakapin mo siya ng mahigpit hanggang sa maramdaman mo ang pagmamahal na matagal na niyang ipinadadama. -MDS"" #MiriamUtakAtPuso #MIRIAM2016"
164,sel_pia,"""I will recruit the best, the most competent, the most honest men and women to assist me run my administration."" #MiriamUtakAtPuso"
165,jlcometa,I am for Miriam. #MiriamUtakAtPuso
166,sel_pia,"""Political parasites, incompetents, and unproductive workers will have no place in my administration."" #MiriamUtakAtPuso"
167,njregio,"""We need a leader who seek unity not division, a leader who look to the future and not to the past."" #MiriamUtakAtPuso #MIRIAM2016"
168,cathyrain19,There's nothing to fear as we are supporting for the most qualified candidate. #MiriamUtakAtPuso #SwitchToMiriam https://t.co/kcotenySJy
169,sel_pia,"""I will restore meritocracy in government."" #MiriamUtakAtPuso"
170,sel_pia,"""When elected, my first act is to have the Freedom of Information Act (FOI) enacted into law."" #MiriamUtakAtPuso"
171,sel_pia,"""There exist no stable political parties in the real sense of the word."" #MiriamUtakAtPuso"
172,sel_pia,"""It’s been thirty years since we restored democracy in the Philippines. Yet, political institutions remain shaky."" #MiriamUtakAtPuso"
173,njregio,"""Don't ignore the person whose only intention is to make you happy. And that is Madam MDS."" #MiriamUtakAtPuso #MIRIAM2016 #BakitSiMiriam"
174,amigoalvin,"What cancer can't do?
#MiriamUtakAtPuso https://t.co/bRuM7EDHkW"
175,iamjhace,#MiriamUtakAtPuso simple lang.. Matalino si madam.. At may malasakit sa kapwa pinoy..
176,sel_pia,"""We need a vibrant and more productive agriculture hand in hand with a strong manufacturing."" #MiriamUtakAtPuso"
177,cathyrain19,"Stood up for what is right rather than what is popular. 
#SwitchToMiriam #MiriamUtakAtPuso"
178,sel_pia,"""Only if the young are educated and healthy can they benefit from growing economic prosperity."" #MiriamUtakAtPuso"
179,sel_pia,"""Only by investing in people can we truly make growth inclusive."" #MiriamUtakAtPuso"
180,sel_pia,"""We need to prepare our people for a more modern, more competitive global economy."" #MiriamUtakAtPuso"
181,mkmm_avemaria,"Just like what @senmiriam said,don't believe on surveys. It was Judas Iscariot who was conducting this unbelievable polls!#MiriamUtakAtPuso"
182,dnumyaraves,"Walang POLITICAL MACHINERY
pero panay ang labas ng TV POLITICAL AD

#MiriamUtakAtPuso"
183,njregio,"""Tell me. Paano ko bibitawan yung taong ayaw kong iwan, tulad ni MDS?"" #MiriamUtakAtPuso #MIRIAM2016"
184,sel_pia,"""We will achieve the goal of higher and sustained economic growth by investing heavily in public infrastructure."" #MiriamUtakAtPuso"
185,monorbeta,4 Reasons Why I No Longer Support Duterte https://t.co/RryMSx3bis      #switch2miriam  #MiriamUtakAtPuso
186,_steffiechoo,I know THAT GUYY HAHAHAHA SINGIT PAAAA.. #MiriamUtakAtPuso https://t.co/B4Vq6rGD0I
187,sel_pia,"""I commit that the Philippine economy will grow faster than ever before."" #MiriamUtakAtPuso"
188,rsjacintos2012,Hindi pera kundi dangal at dunong ang puhunan nya. Kaya #Switch2Miriam ka na #MiriamUtakAtPuso sya ang presidente ko https://t.co/8kC247ll9T
189,klinetimia,Hey hey #MiriamUtakAtPuso https://t.co/ogYqUvYXBR
190,sel_pia,"""I commit to invest in people, in public infrastructure and in political institutions."" #MiriamUtakAtPuso"
191,sel_pia,"""In 2022, I will turnover to my successor political institutions that are more stable."" #MiriamUtakAtPuso"
192,klinetimia,"Nag aksaya lang sila ng panahon. Haha

#MiriamUtakAtPuso https://t.co/PjQHPqKKYA"
193,sel_pia,"""In 2022, I will turnover to my successor a people more united and prouder of their leaders."" #MiriamUtakAtPuso"
194,sel_pia,"""In 2022, I will turnover to my successor a nation that is more prosperous."" #MiriamUtakAtPuso"
195,njregio,"""I am so back Madam MDS. I miss you."" #MiriamUtakAtPuso #MIRIAM2016 #MiriamPaRin"
196,aceomakDT21,"#MiriamUtakAtPuso In your hands lies the destiny of the Filipino people. 
sabi ni Madam!"
197,renereeve,Bawal ang tiwali at korap kay Senadora Miriam Defensor Santiago! #MiriamUtakAtPuso
198,lalenalena101,Wtfh? She deserves to be our president. #MIRIAM2016 #MiriamUtakAtPuso https://t.co/uDvGujnATd
199,renereeve,"PCSO: MAS MARAMI ANG TUMATAYA KAYSA NANANALO.
Dagdag mo pa yung sa PAGCOR. Saan kaya talaga napupunta ang pera ng bayan? #MiriamUtakAtPuso"
