supericawaii,"""walang modo! bastos!""

*duterte kisses girls apropos of nothing and without consent*

""katuwaan lang naman yun"""
BieAnnBinas,Pinasaya mo yung gabi ko. Oj HAHAHAHA @Kuya_duterte
Cruzitsiritsit,"@julieclarisa hahaha ano gusto mo... may duterte bless you with ""putang ina mo"" HAHAHAHAHAHAHAHAHA"
MabandosJr,FUCK YOU tong mga taga UP kala mo kung sinong magagaling . yow  i just want to remind you ang layo mo kay DUTERTE... https://t.co/4B9T5lloqr
mysoredicky1,@suckyouhrder duterte?
supericawaii,"""bastos! hambog porke't taga-UP!""

*duterte flips the finger and says ""tangina"" on numerous occasions*

""don't take him literally kasi"""
Marielakko,Agila(rap song for Duterte) https://t.co/ZIgTyK1xjZ
cprm013113,#Ad: Freddie Agyular Para sa Tunay na Pagbabago Duterte -  - @RRD_Davao https://t.co/f8XwHnFwQ6
LouisTheSassAss,@Kuya_duterte Ryan yap
giaaaaann,Sino nakakuha nung bucket hat ni duterte?penge
cameyljaleco,"""@Kuya_duterte: ""Magbabago na ako. Promise""

MALAKING KASINUNGALINGAN! BARILIN KITA EH"" <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B4><U+00AB>"
usa_albarracin,"RODRIGO ROA DUTERTE FOR PRESIDENT
#PHVOTEDUTERTE CAYETANO.. https://t.co/2Eiw7FkUAd"
kimMishie,@TanTanTanTaaaan nag mention pud ka bout election and you will vote for duterte man kaya? HAHAHAH
jezreelandre,"Are u a Duterte supporter?
""Yes, with reservations"" 
Thanks, @rapplerdotcom"
cnnphilippines,Duterte said his campaign is not shaped by surveys https://t.co/zQNpVVmksx #TheFilipinoVotes
ariane_fabulous,@VenzonJay kan duterte
Ikka14Nikka,"""@Kuya_duterte: 'Di ka talaga papayat kung laging masarap ulam niyo. Buset ka"""
Duterte24x7,Poe thankful for lead in latest poll; Duterte remains unfazed | https://t.co/mDzAdPEM9X #PHVoteDuterte https://t.co/0Bq4WAV79B
gelmarquez,"Duterte: Say Duterte 2016!!!
Duterte Fantards: D... D... Du... DEATH THREATS!!! DEATH THREATS!!!!!!!!!!!!!!!!!!"
brightsiderakoo,@Kuya_duterte Hindi uso sakin Ligo. 555 lang. Lol.
kimMishie,@TanTanTanTaaaan #duterte HAHAHAH TANTAN
usa_albarracin,"#phvoteduterte 
Meaning!!!kayang kaya ni mayor DUTERTE kahit BUONG PILIPINAS PA..
SOLID DUTERTE CAYETANO 2016 https://t.co/7UrkiOVKB6"
BieAnnBinas,@Kuya_duterte sarap hampasin ng sampung wall clock punyeta
straightedge,"Yes! ""Interrupting Rodrigo Duterte"" via @rapplerdotcom https://t.co/X5asg6l09k"
BieAnnBinas,@Kuya_duterte hahahahaha tangina barilin kita jan eh
AlexGGGGGGGG,Grabe! Sobra sobra tawa ko sa mga tweets ni @Kuya_duterte Hahaha. Laughtrip!
sharmaindesiree,"na stress ko sa uban nga mga fantards ni duterte, grabe ka bogo og way of thinking <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>"
IVANadium_,Duterte fanboys and fangirls.
LouisTheSassAss,@Kuya_duterte oo hahaha barilin kita eh. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
dominicasipit_,@icydagalangit duterte!
justineleimnl,"If I just can unfriend all Duterte supporters on my FB, I will... Pero sino ba naman ako sa buhay nila anek hahahaha pulitika ano ginawa mo?"
PisbukDionisia,@TVPatrol @DorisBigornia- Tama dyan si Duterte.Alam na natin kung sino ang unang Tatangging buksan ang Bank Acct... https://t.co/lweL5sDayg
chuan_sheila,Rodrigo #Duterte &amp; Alan Peter #Cayetano mobbed by supporters in Palo Leyte today #DuterteCayetano #PHVoteDuterte https://t.co/G3MwozpHTV
msalvamarjorie,@ppanyppangppang @Kuya_duterte LOL <ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+009C>
JemCarz,Wala akong makitang kabastusan dun sa UP student na nagtanong kay Duterte
julsLokaaaa,WOOOOH NALAFTRIP AKO SA MGA TWEET MO PO @Kuya_duterte
KathleenSheen,Mga hinayupak mag study dw pero nanstalk rman diay kang Duterte ug crush ni Mitch ahay <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
chara_las,"Sa issue ngayon tungkol kay Duterte and UPLB, naalala ko yung nangyari nung ME Board Exam namin."
Jaaaniiil,excited na ako makita bukas si Duterte. idol ko talaga sya. Pramis
Asdwightjkl,Kapag kaya nahalal na si duterte buhay pa rin kaya sya kinabukasan? HAHAHAHAHAHA
Jaaaniiil,@Senyora pupunta bukas sa school namin si Duterte. Trip ko mag ala UP-LB. okay lang ba sayo? Hahaha #PHVoteDuterte
msalvamarjorie,@ppanyppangppang @Kuya_duterte hmmm sge na nga~ gusto ko lang naman ng pagbabago eh <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
dextercruzat,April 2 daw pupunta ang Duterte Cayetano tandem sa Batangas City. Whoooooo!!! Nakakaexcite! <ed><U+00A0><U+00BD><ed><U+00B1><U+008A> #PHVoteDuterte
lorelyn_dumaug,"Duterte, Rodriguez top in SPC mock polls - Mindanao Gold Star Daily https://t.co/JqIozLmyTC"
msalvamarjorie,@Kuya_duterte @ppanyppangppang hmmmm ako ba to? Hahahahahhaha
supericawaii,"*binay roasted by uplb students* 
netizens: nice uplb! deserved nya yun!
*binastos daw si duterte* 
netizens: """"""""yabang up"""""""""
ARCHdemm,watched Duterte's speech kanina sa rtr. he seems sincere but every politicians naman eh
