jfuntszz,Nag trend ang Bastos.  UPLB #Duterte https://t.co/Uea8Dgr9Di
mynameisjea,Enjoying all the grilling and bashing aimed towards this ignorant and rude UPLB stud. He deserves it <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>
MarkyMall,Duterte slays the question of a UPLB student.
ChrisBcCIntosh,my tita graduated from UP diliman yet she was disgusted  looking at the arrogant UPLB student
iamJurizaAnne,"Kung gusto mo ng madaliang pag sikat, tularan si Stephen Villena ng UPLB <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
kristine554433,@Duterte24x7 si PASIKAT MAN UPLB Student na nag mamagaling
JoshLabis,I cant believe some students on twitter actually defend the UPLB student who disrespected duterte..
BoomPANGA,Wala namang kasalanan yung UPLB mismo. Sadyang naglipana nalang talaga kung sasaan ang mga bastos na kabataan. #Duterte2016
iyaelago,@Yaaaaaannnnnnn (1) That you shouldn't be lose your manners towards the UPLB community just because some guy lost his and (2) that
damienful,@Ccrizeld because they can as one UPLB student criticizes the whole of Duterte. #charot
sabinoariesxxiv,"Sira ulo kang estudyante k ng UPlb bumastos ka duterte , pag kapakita kasken sapak k sken!"
ClairDelevingne,"Much has been said to that UPLB stud. Anyway, everyone's entitled to his or her own opinion."
LoveHaniBee,May bagong cyberbullying na naman. Yung student ng UPLB na binastos daw si Duterte. Sus! OA niyo! Tigilan niyo pamamahiya sa kapwa niyo.
heavendomingo_,that UPLB kid tho. pft
she8happens,UPLB Perspective lang siguro pagkakatiwalaan ko sa balita.
she8happens,UPLB Perspective nalang pagkakatiwalaan ko sa balita.
rentsu09,Atleast that UPLB student is now scarred for life <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
Athenerd,Hala wait anyare ba't po binabash kaming UPLB students ano meron gawa ba nung nangyari nung kay Duterte hala
ErckOms,Kaurat tong student ng UPLB. Matalino kaso yung attitude.
AriZlangSs,to UPLB student na nambastos.. kung ayaw mo kay Mayor Duterte dapat tumahimik ka nalang sana.
rentsu09,HAHAHA tangnang UPLB student na yun ang labo ng tanong.
soedakyoko,Nakakainit na ng ulo 'yung mga sinasabi about UPLB students. Gravity. <ed><U+00A0><U+00BD><ed><U+00B9><U+0083> #DuterteVisitsUPLB.
JustGwapo,"Apparently, those UPLB students didn't brought manners with them during Duterte's visit. Such a disgrace for UP. <ed><U+00A0><U+00BD><ed><U+00B8><U+008F> https://t.co/G2oYQV3DGm"
elaysensaypiyel,Letran or UPLB <ed><U+00A0><U+00BD><ed><U+00B8><U+008C> https://t.co/vlPzbqDQVY
nj_unson,wow trending uplb haha
francismagsajo,"I think people forgot the main issue on Duterte vs UPLB Student. Oh but then again:

Ano nga ba ang relevant na issue talaga?"
PapaLowps,"Di ko parin talaga gets kung bakit issue yung UPLB student. Di naman sa bastos, pero si Duterte pa ba yung hindi sanay makarinig ng ganun?"
ako_othy,Sa sobrang bilib mo sa sarili mo simpleng GMRC lang di mo mapairal sa sarili mo UPLB Student vs. Mayor Duterte <ed><U+00A0><U+00BD><ed><U+00B8><U+00A4><ed><U+00A0><U+00BD><ed><U+00B8><U+008F>
tenderjuicyyy,Nagagalit kayo dahil nilalahat ang mga UPLB students pero ginagawa nyo rin naman. Hypocrites
NolMontalbo,"#Duterte vs ""UPLB-Man"".
Una sa lahat, utoy, the word should be ""compromised"", not ""compensate"".ﾅ https://t.co/lv8gIeBtxM"
akositurat,Oh UPLB days. Napareminisce tuloy :D
kleyr_agbayani,myOpinion!! naiinis ako sa UPLB student... bastos napaka basto. parang walang pinag-aralan! kung ikaw kaya nasa sitwasyon ni #Duterte . #LR
renzorodelas,"Nakakatakot, baka mawala na lang bigla si kuyang binubully ng dutertards :((( Ano na naman labas ng uplb sa media <ed><U+00A0><U+00BD><ed><U+00B8><U+0094>"
MitosDee,"@galangir   Sabagay nga. Di pa nakakasagot si mayor, dinedebate na ni stephen. Pasaway sya. Di po UPLB."
MSJLeyson,"May mali naman talaga si Isko, hala pero naman, hindi sasalamin sa 15,000 na populasyon ng UPLB ang sampling size na n=1 (Penuliar, 2016)"
akosileann,sobrang nakakabadtrip ang tweets sa UPLB.. mga stereotype!
joshuasulpico1,Ito ung pambabastos kay duterte ganun pala mga taga UPLB bkt ba pinoproblema nyo ung pilipinas hnd nyo... https://t.co/Tg9xNcMVAQ
chumpaddy,After watching the Q&amp;A sa UPLB... https://t.co/640g4VBVRW
bigoteeswabe,Puro about dun sa issue nung UPLB  student laman ng news feed ko
dextercruzat,He didn't gave us direct answers. - UPLB students observed // Si Duterte ang tipo ng tao na magbibigay muna ng example bago ang paliwanag.
wielsonf,"Kapag taga-UP o UPLB ka, hindi mo na kailangang depensahan ang sarili mo kung nasa tama ka. You've got a large community behind you."
Ashee0315,Kaya nman pla gnun nlng si Stephen Villena mambastos eh pkawala ni Roxas! May bayad sya! Kakahiya damay pati UPLB https://t.co/Idz17HD8oN
Jeffrey413_,UPLB wala manlan kayong gagawin dun?
akosileann,grabe mas masahol pa kayo dun sa UPLB Student na sinasabihan niyo ng bastos. kakahiya kayo.
bebot_me,"@bebot_me duterte uplb That student demanded straight answer,yet his question was long and winding. Simply rude!"
iRHEAplaceable,"UPLB better check your students for the sake of your school, &amp; here I thought that all the smart ones go to UP, guess I was wrong."
aQcGlenTot,Stephen villena ikaw ang halimbawa ng walang modong bastos UPLB ka pa naman!... alagad ka nga ng mga abnormal sambahin mo si PNOY at ROXAS
DaniloA64203375,@clavenilo @1nutty_hazel @nems5669 tama kayo mga UPLB students.@NO TO BBMARCOS. Beware of Duterti and GPoe also BINAY.this a warning b4 regr
GenderBenderPH,Eto si Stephen Villena ng UPLB ang bastos na nagtanong kay Duterte. Parang galing hukay ka bro hahaha <ed><U+00A0><U+00BD><ed><U+00B6><U+0095><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B6><U+0095><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B6><U+0095><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> https://t.co/nTf8SSCloD
annoyinghoey,or bastos din si student pero hindi siya representation ng buong uplb <ed><U+00A0><U+00BD><ed><U+00B8><U+008C>
jomardlrs,Naturingang taga UPLB ka pero di ka marunong makipagusap sa matanda ng tama.
wilmooooor,"A UPLB student roasts Binay - Meh
A UPLB student roasts Duterte - ""Bastos. Dapat turuan ng magandang ugali"" https://t.co/8N1BIRA6av"
dextercruzat,Goodluck na lang sa'yo @VillenaStephen pati UPLB nadamay sa'yo. Hahahah! #PHVoteDuterte
dearestdaryl,"[korina sanchez' voice] Imahen ng Banal na Birhen, tinakpan ng itim na tela ng isang kulto sa UPLB.
[mariang_banga_women's_day.jpeg]"
akosileann,ano namang meron sa UPLB? grabe ano? stereotyping na
joeseffpinto,"""Maling mali ang estudyante na taga UPLB, respeto naman daw."""
abasoloRMC,AAAAH kaya pala mayroong UPLB-MAN hahahaha
katreenanulud,but ok wtf?? enlighten me about the uplb/duterte situation pls
rinagoddethe,A rotten fruit around the good ones can affect others too. What should we do? UPLB
bumblebest,"Eating popcorn while reading UPLB comments in the TL. Pot meet kettle lang yung nangyari, people calling someone rude rudely."
aQcGlenTot,Stephen Villena naaawa ako sayo dahil lumaki kang bastos uplb ka pa naman nag-aaral #respectd30 #d30  #digong ibalik ang GMRC
acupanpat,"para sa'kin, that UPLB student went beyond expressing his opinions. I'm not a fan of Duterte but i believe he deserves to be respected."
kristine554433,PASIKAT MAN or ARROGANT MAN?UPLB student na nag mamagaling!Libag na tinubuan ng Mukha! #PHVoteDuterte https://t.co/GLVbo20Ng6
Ccrizeld,Why are they criticizing all the students of UPLB?
iRHEAplaceable,Kay kuyang taga-UPLB. WALA KA NA NGANG IQ WALA KA PANG EQ. Kahiya ka. Sayang binabayad kong TAX at ng mga magulang ko para mapaaral ka. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A4><ed><U+00A0><U+00BD><ed><U+00B8><U+00A4><ed><U+00A0><U+00BD><ed><U+00B8><U+00A4>
