jfuntszz,Nag trend ang Bastos.  UPLB #Duterte https://t.co/Uea8Dgr9Di
thirdyglino,"Duterte supporters hit a UPLB student for being ""rude"" to Mayor Digong in a forum. But they cheer Duterte for cursing people."
voldylorde,an alumnus from my school lowkey roasted du30 at uplb <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
NheneRosalie,Duterte visit UPLB#PHVoteDuterte #DuterteVisitsUPLB https://t.co/ZZGwFXM6bd
yourfrantasy_,Saw the Video of mayor Duterte's open forum with UPLB students
DuterteFtheWin,Ang hambog at disrespectful nung UPLB student. Si Mayor na nga yung tinatanong nya ganun na umasta paano pa kaya kung ibang tao yun?
PirtiKaEmotero,grabe naglagot ko atong taga UPLB nga bastos kaayo kang Mayor bah.ha man imong breeding?.waka tudloi saimong mga ginikanan?! #PHVoteDuterte
markmillare,lamia ligsan atong studyante sa uplb oy
thrshaa,"Not all UPLB students are, like many have said, arrogant. On the other hand, not all bisaya people are pro-Duterte."
lcconchas14,@lcconchas14 *UPLB Student
PirtiKaEmotero,"Nyeta yung taga UPLB na nagtanong kay Digong ah, di man lang nahiya bilang natagurian pa naman skolar ng bayan..#PHVoteDuterte"
micahtorres_,"Napaka walang modo nung taga UPLB, I get it that u don't like du30, but damn can't u ask in a nice way? wala pa nararating, mayabang na agad"
Mharrrrrrr,Kakahiya naman ung mga studyante ng UPLB na un wtf
Xiannethomonas,Bugua atong estudyante sa UPLB oy! May pa compensate2 pang nalalaman. Patunlon kag bomba ron buanga ka <ed><U+00A0><U+00BD><ed><U+00B2><U+00A3>
avadakathavra,bastos na gusto ng uplb student ng straightforward na sagot pero hindi bastos yung mga putangina ni duterte sa forum? hmm hahaha
ReclaimEDSA,"Simpleng utos lang, di masunod ng supporters ni Duterte. #PHVoteDuterte #DuterteVisits UPLB https://t.co/TUp1vtTTr0 https://t.co/APUTvJdDc0"
ABlessingToYou,Seeing Davao City related pages online and their wrath against that UPLB student breaks my heart. Di po lahat ng nag-aaral sa UPLB ganun. <ed><U+00A0><U+00BD><ed><U+00B8><U+0094>
lcconchas14,"Re sa video ng UPLB vs Duterte, what if kung si Binay yung nagisa?"
edward_rico,"""Bastos"" daw yung ginawa nung UPLB student kay Duterte pero okay lang gawan ng meme at murahin si Mar? <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>"
Judaaah,Gago yung UPLB student na naka-usap ni Duterte. Ubod ng tanga. Ngayon ko lang napagtanto na di lahat ng nag-aaral sa UP matalino.
Jenicaibit,"UPLB student kapa sa lagay na yan ahh! Booooo, walang may paki sayo kuya <ed><U+00AE><U+00B8><ed><U+00BC><U+00BD><ed><U+00AE><U+00B8><ed><U+00BC><U+00BD><ed><U+00AE><U+00B8><ed><U+00BC><U+00BD> ang epal mo ehhh! https://t.co/goxJPBZ2QY"
zekenava,Have you seen the video of the uplb student who make duterte feel humiliated and arrogant? Kainis
justmark8,I think fellow #Digong supporters should not bash the personality of that rude student in #UPLB. It's enough to criticize his act...
cjaampig,Ahm https://t.co/cZaxhu8WhG
francesmonsanto,@finiarmea yes medyo disrespectful siya tapos na-generalize na mga taga-UPLB <ed><U+00A0><U+00BD><ed><U+00B8><U+009E>
youronlyprince6,Ah okay ganito pala sa UPLB . Nadismaya ako ..  Yung skul na pinapangarap ng karamihan kasi nga UP yan may iilan... https://t.co/OOHCRYXhk7
DeguzmanNini,Sino b tong bastos na student from #uplb sinisira mo pangalan at karangalan ng up
bingzhie,Kanina nakitkita ko pa acft ni #stephenvillena ng UPLB ah.. Ngaun la na.. Coward mo naman.. #stephenvillenaRUDE
migspretty,@missjover hindi lang ikaw. Pati si Mr. UPLB Student na nagtanong - victim of cyberbullying na
theredberry80,@bum_tenorio Im a UPLB grad too BS Food Tech. Not been back for a long time. Miss UPLB
dewlyy,grr<ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>annoying yung UPLB student.sge insist mo pa yang pagmamagaling mo.
clongshit,Kawawang UPLB student <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
clavenilo,@maria_ressa @leahnavarro @rapplerdotcom this country future may pag asa Go UPLB !!
arveen11,"Binay in UPLB - Roasted
F�hrer Duterte in UPLB - Didnt directly answered the question. Nabash pa yung student."
CharlieCinon,That beki UPLB student deserves to be humiliated online. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
dreiespartss,Jgh from uplb
ivanthebelly,"We do not crave for Duterte, we crave for Miriam! (@senmiriam) - most UPLB students #MiriamFight #SiMiriamAngSagot #MDS2016"
diafricano,I want to hear the side of UPLB students. Ano ba talagang nangyari sa forum with Mayor Du30?
KRlSSl,"gago ka ba @rapplerdotcom?????

ano fallacy pa? hasty generalization? fallacy of composition?? sige lahatin mo na kaming uplb students :---)"
jandeybpogi,Ang bobo noong taga-UPLB na nambastos kay Duterte HAHAHAHAHAHA ANG SHALLOW HAHAHAHAHA
thrshaa,"@thrshaa i mean, between people's hasty generalization of uplb students and people's usual perception of bisaya people"
jadine_uplb,"Prolonging the agony but still.. go @JayeHanash <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>

REIDY TO WIN https://t.co/MakQrBZ8kD"
aymgw,uy diba ayaw ko kay duterte pero grabe naman yung uplb student na sinagot sagot siya ng ganon. mayor yang kaharap mo haha respeto naman
4Duterte,"@belligerentmiss No, pls dont drop names. No name was mentioned in d vid for d rude person who interrupted Duterte in UPLB."
AmAries09,Bastosa atong uplb student oy. Murag way utok ba
dri_go1003,"May karamay ka sa pagbangga raw kay Duterte. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#JPdelasNievas #ronaldgemcelestial #uplb #Rappler https://t.co/iacRnsGUeD"
4Duterte,"@she8happens No, pls dont drop names. No name was mentioned in d vid for d rude person who interrupted Duterte in UPLB."
4Duterte,"@Ideal_Views @YouTube No, pls dont drop names. No name was mentioned in d vid for d rude person who interrupted Duterte in UPLB."
4Duterte,"@ohhMJCainglet 
No, pls dont drop names. No name was mentioned in d vid for d rude person who interrupted Duterte in UPLB."
jadine_uplb,"@NickAwards2016 @JayeHanash <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>

REIDY SET SLIME"
trettet,Wow...i now see why people are outraged towards UPLB... <ed><U+00AE><U+00B8><ed><U+00BC><U+00A0><ed><U+00AE><U+00B8><ed><U+00BC><U+00A0> https://t.co/RRScbDVEkg
aicamercado_,UPLB students again in bad light bc 1) media framing strikes again and 2) we're called 'arrogant &amp; disrespectful' bc of that one student. <ed><U+00A0><U+00BD><ed><U+00B8><U+00B6>
jadine_uplb,"Congrats @hellobangsie <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>

REIDY SET SLIME https://t.co/ruWGVhD6Au"
ivanthebelly,What if Miriam visits UPLB? What would you do? <ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099>
VaritBruten,Bugo lagi tong nangutana kay Duterte nga taga UPLB. Walay respeto.
Greeeeyyyss,@TheTweetsOfRjel Oh. Concern lang ako sa mga supporters niya na nangbbash ng UPLB students. Rage mode on.
ginajane19,"Dear UPLB, ang HARD nyo."
musargelyy,"@clintzoned @haidilizatomy chill bruh, mainit ang tingin ng social media sa mga uplb kaya bias sila"
alexbarcy,Hindi nga kasi si Gem yung UPLB student ano ba guys paano ba kayo mangstalk ng profile
SoEJSabado,UPLB students to Duterte: Give us direct answers https://t.co/DmubFrHj0i via @rapplerdotcom
_NoChillC,"umagang-umaga puro UPLB bashing headlines and comments ang nakikita ko.. hasty generalizations and shits, kastress tong mga to jusko <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>"
manongedu,Sobrang tanga nung UPLB student na yon.
JoanaDCruz,"Wala pala kayo uplb e, bastos pala kayo e hahaha"
CeejaeRafanan,Ugh yun UPLB student is now being cyberbullied by Duterte supporters. CONTEXT NAMAN GUYS check nyo muna CONTEXT
SiAyVan,"That UPLB student had a good question but was rude in saying, ""Para makauwi na po kayo."""
angelavrns,Uplb pa sa sabado yay
HeneralLUJna,ako ray naluoy sa UPLB student na nagpinataka ug pangutana ahahaha. or basin poser ra
paulrelampagos,Must remember to watch this UPLB thing later
ChinkyFreddie,The steph pablo guy from UPLB should be the cover art for Kanye West's new abum The Life Of Pablo. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
MeChieeeee,"Nakakairita yung uplb student, tangina mamaru masyado e. Di muna patapusin sa pageexplain si duterte, in-interrupt agad."
heathstrife,That UPLB student though. Hahahahaha. Pasikat e nagmukha namang tanga. #ChangeIsComing #Duterte2016 #PHVoteDuterte
kingpatrickva,Kuyang tga UPLB kung katulad mo lng nmn ang pglalaanan ng budgt para sa edukasyon e wag na lang.
jadine_uplb,"HAHAHAHAHA

REIDY SET SLIME https://t.co/9xIWcYQ90S"
jadine_uplb,"@NickAwards2016 We were born REIDY! <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>

REIDY SET SLIME"
Surrearlism,"At rest.

#nature #uplb #sky @ Freedom Park https://t.co/K3nXn4u745"
steveaokier,"""UPLB student as a teacher""

Teacher: *hands test papers*
Teacher: Get one and pass pakisagot agad ng tanong ko para makaalis na kayo."
DuterteFtheWin,@EscobalJessie sa UPLB ni?
jadine_uplb,REIDY SET SLIME https://t.co/BgKIDKTFK5
akositurat,"Sharing this important open letter from the current UPLB USC Chairperson, Ronald Gem Celestial. Btw, happy... https://t.co/O2r6EGB4MW"
taddybearl,that autistic UPLB student deserves to be humiliated online
DudeItsGAB,Just posted a photo @ UPLB Freedom Park https://t.co/kjOl6LbD80
lexiizzlee,Bias nyo Rappler. Pucha!!ﾠ. Commented on: UPLB students to Duterte: Give us direct answers: https://t.co/bEbvN2Zzw7
itsyownis,UPLB <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> (c) https://t.co/duq73B2WqI
bautistawhenie,@bautistawhenie kay kuyang taga UPLB god bless you.
soybin_11,Di ka kawalan sa uplb. <ed><U+00A0><U+00BD><ed><U+00B6><U+0095><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1> masyadong pabida.
timtimvalenzz,"ready na kami for tedxadmu!!! 
uplb cdc reprezentttt <U+2728>
@jangkido @callmejohnd @pauzpgan @KLPeroy"
AlvinRiamon,UPLB students disappointed Duterte answered just four questions in forum https://t.co/x92BXou2Bm via @gmanews
finiarmea,I've been reading posts and comments regarding the UPLB student who disrespected Duterte last friday...
Rextituts,UPLB students to Duterte: Give us direct answers https://t.co/1YTETZzo4P #duterte #eleksiyon2016
steveaokier,That UPLB student clearly wanted to keep up their school's image when they grilled Binay last year. Paandar din naman talaga kayo eh.
yoitsmeCAEL,My tita opened up the issue about kay kuyang nagtanong and Duterte and she's really blaming the UPLB students na bakit daw ambabastos.
karlaloveskakay,Haaay! MakaBV ang UPLB student na gapatakag sturya! <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A3>
MariellaNato,Seriously? Yung taga uplb student na binastos si mayor duterte nakakapang init ng dugo. Naturingan up student! Walang respeto.
yoitsmeCAEL,Ano kayang pokemon yung meron sa UPLB? hahaha
RonaldGem,@kentilogon It was the UPLB community's collective effort. :)
shanederella_,Nahigh blood ako ni kuyang taga-UPLB student haha. Ngayon lang ulit ako nag rant sa fb.
jadine_uplb,"ARE YOU REIDY?

REIDY SET SLIME <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>"
Trickzanity,That disrespectful student from UPLB tho. Smh.
jpeugeni0,siguro nag trending yung eatudyante mula sa UPLB. hahaa. sagot pa.
alwaysGARCIfied,UPLB students disappointed Duterte answered just four questions in forum https://t.co/uH4qQVpIxb
yeapaulee,"Ung student ng UPLB, nagtanong lng para makapagbara eh. Oh eto na hinhiling mo, sikat kana. Okay na?"
barcy41479,@ArbetBernardo Good question from the UPLB student. Disappointing that Duterte didn't give a clear &amp; direct answer.
kentilogon,Na amaze ako kung gano ka active and very successful ang student council ngayon ng UPLB. char hahaha Happy Birthday kuya @RonaldGem
migspretty,"@xpeanutgalleryx in other news, have you seen meme bashing UP Student who asked duterte a question at uplb? ""Arrogant"" daw ang bata."
araneta_irene,@PHVote @RRD_Davao @YouTube  nakaka disappointed ang mga  student ng UPLB pasalamat tayo mayrong #Duterte2016  nahandang mag buwis buhay
hananeel,Tinutuon ko ang isip ko sa Manila major dahil sobrang nakakapanggigil ang sinasabi ng mga tao sa mga nagtanong kay Duterte sa uplb.
Nachelleee,@accuxiidia @jadine_uplb @JaDinexWolves @JeyeHanash @TeamKaBebe eto na naman haha https://t.co/83fpxM31ga
PipinoNiJobert,"Yung estudyante ng UPLB, sa sobrang katalinuhan, ganun nalang mambastos. Halatang kulang sa pagmamahal. BIGYAN NG PIPINO!!"
akositurat,@kloreine ay UPLB ka lang ate? Hahaha
kloreine,"Gusto ko talagang manapak minsan kapag sinabing ""Ah UPLB lang?"" <ed><U+00A0><U+00BD><ed><U+00B8><U+0091>"
mikezamora20,that rude UPLB student is a shame to the academe.
joycilindrawing,I swear di na ko babalik sa UPLB. Never ever!!
Mthyll,Sana upload na ng rappler yung forum ni Duterte sa UPLB. May tangang studyante kasi ang hindi marunong makinig <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #PHVoteDuterte
Ideal_Views,Mayor Duterte's Reaction to UPLB student: It was a bit silly question #PHVoteDuterte https://t.co/ZDVBoSnNrV via @YouTube
fremsite,@Senyora eto ung nambastos kay Mayor Duterte sa UPLB gustong magpasikat.. pasikatin mo nga<ed><U+00A0><U+00BD><ed><U+00B8><U+008F>@VillenaStephen https://t.co/mR3h9h7HWw
fremsite,ayan ang UPLB student na nambastos kay Mayor Duterte<ed><U+00A0><U+00BD><ed><U+00B8><U+00A1> https://t.co/g6fLgCrJIC
lukesKYLEwalker,"UPLB student vs Duterte,  winner Duterte hahaha"
garnerlagare,UPLB student na nambastos kay #DUTERTE take your take to listen to this video that explains the answer  to your... https://t.co/1Rc2H12Kk2
tonyeagler,I thought if u came from a state U like UPLB makes u a better stud. This 1 is arrogant. Sorry for ur parents dude.  https://t.co/DwTrVgPKNS
ABlessingToYou,"UPLB Students are now being generalized as ""Rude"" students because of that Duterte incident last March 11. <ed><U+00A0><U+00BD><ed><U+00B8><U+0094>"
ansoyming,cc arrogant and disrespectful UPLB kid (kaway kaway!)
opinionatedjp,"I wonder how this UPLB student Stephen Villena able to enroll UP. Aside from grades, GMRC shud also be considered! https://t.co/zP962JGo8z"
mescasa,"The full speech at UPLB. 
https://t.co/SXeUgOz3pP"
29cess,Nakakahighblood ung studyante sa uplb<ed><U+00A0><U+00BD><ed><U+00B8><U+0092> ampota kung ganyan ka mag defense kay mam cortez masisingko ka<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
CyberChangge,Mayor Duterte's Reaction to UPLB student. I guess this will answer ur question. I rest my case #PHVoteDuterte <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> https://t.co/RTXt8I9efX
garnerlagare,This rudeness made by one student of UPLB does not affect the whole UP population because we all know that their... https://t.co/H69ydYPGFQ
natibk3r,"So, it seems that UPLB studes are dismayed with #Duterte https://t.co/6LzDMGhYb1"
thetigeRAD,@cJeyp Marami naman na unang pinili ang UPLB. T'saka argumentum ad hominem 'yun e. Tanga lang siya? Haha.
albarrientos21,Pero hay arrogant uplb students tsk
rejilistic,"hhmm. iba talaga yung dating ni kuyang taga UPLB. he is aggressive, not assertive"
IAMKHALIDLOZANO,Oohh that exchange between Duterte and one UPLB student <ed><U+00A0><U+00BD><ed><U+00B9><U+0088>
cutechikkadoll,Hayaan na natin ung UPLB student who was 'rude' during the Q&amp;A and let's not do hasty generalization. <ed><U+00A0><U+00BD><ed><U+00B1><U+008D> #DuterteVisitsUPLB #PHVoteDuterte
Jimparedes,"https://t.co/Er362fCJ0V
Some UPLB Students who questioned Duterte were criticized by Netizens for being disrespectful &amp; rude."
CLbeboso,Arrogant man ng UPLB! HAHAHAHAH kakahiya kuya hahaha
IamChadPlacer,"Kala ko may problem don sa UPLB with Duterte, ang babaw naman pala. Napanuod ko sya parang tambay naman yung mga... https://t.co/bqAUnBBeZJ"
jadine_uplb,"@joycelovegonza2 thank you loves! <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>

REIDY SET SLIME"
mCkey_Alcuizar,Pasikat na uplb ..... Ahahahahah bulok .... Tukmol https://t.co/zL73qdb2GS
ricolocco,"@aaoreas nope - walang pwedeng umasta ng ganun kayabang. Sorry for that tweet. Dapat: ""Ang yabang nitong UPLB student na to."""
ricolocco,"@FudgerBadger yup. Agreed. Sorry for that tweet. Dapat: ""Ang yabang nitong UPLB student na to."""
Ideal_Views,Some UPLB Students who questioned Duterte was criticized by Netizens for being disrespectful &amp; rude  #PHVoteDuterte  https://t.co/JlHozHWBvH
joycelovegonza2,"@jadine_uplb Goodmorning ;) excited for the results later , for the twitter party later . Have a. Blessed Sunday"
JandellG,"To that particular UPLB student, one word: Bastos."
jadine_uplb,"Good morning loves! <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
Don't forget, it's Sunday. Let's go to church and pray for the results for Hanash and Bangsie. <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>

REIDY SET SLIME"
jadine_uplb,"True! Nahopia din ako kanina <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

REIDY SET SLIME https://t.co/YeTXBBYmde"
misterdesantos,"""Heﾒs good at making the audience laugh.""

UPLB students to Duterte: Give us direct answers https://t.co/aMhvLHTg4G"
jadine_uplb,"Thank you ElNellas! <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> God Bless on your new soap! Looking forward to it <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>

REIDY SET SLIME https://t.co/vsBt9L58OF"
jace_rnMD,@RonaldGem HBD Gentleman from UPLB USC! :)
RoeAlain,"Now these students already understand that all of the
statements that comes out from the stinky mouth of
Duterte... https://t.co/nGBeLleQte"
cJeyp,@thetigeRAD uplb bio was my first choice in registering for the upcat :)))
jadine_uplb,"Definitely yes! <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>

REIDY SET SLIME https://t.co/6dJC3HQuD6"
gransebryan,"Kaila mo anang ""Stephen Villena""..mura jd ug smart..nga Globe rmn untah...

#UPLB ﾗ feeling angry"
aaoreas,@ricolocco So kapag galing UPD pwede na magyabang? Taga-UP ka po ba? Ever heard of ONE UP? Nice try creating conflict between UPLB and UPD
cJeyp,"""Tapunan lang naman ng up diliman yang uplb""

Nag-cringe ako ng very light. <ed><U+00A0><U+00BD><ed><U+00B8><U+009E>"
thundermilk,So kuyang taga UPLB hindi marunong maghintay hahaha! Yung pang patience nya kasi ata pang-140 characters lang lol
sugarcaramele,Kabastos ng pagtanong nung student ng UPLB kay Duterte! Kainisss!!!! Grr
november_brain,Pwede cguro ni sya paundangon ug eskwela dha sa uplb. https://t.co/29i5YTgTtE
parujinog,@jazzurfan ininsulto NY c mayor duterte! Sayang lang pera ng gobyerno pag papaaral sa walang kwentang tao ktulad ng raga UPLB student.
nikanikaloka,@nikanikaloka lol di niya kinaya tga uplb din sya e <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
nikanikaloka,Hahah kinakahiya ng ate ko yung rude student from uplb.
arpeelazaro,These kids are very sharp. One even said hindi derecho sumagot at dinadaan sa patawa. Unlike Mar Roxas who... https://t.co/Hsp6z80NoP
denisemusni,"I read the comments on Rappler's vid re Duterte's visit to UPLB.
My brain hurts. *bangs head on wall*
I never learn."
thetigeRAD,"Now, UPLB students in a bad light. #badwriting
""UPLB students to Duterte: Give us direct answers"" via @rapplerdotcom https://t.co/mDPXJEC3fR"
_JoeyKoh,"@rapplerdotcom #Notoduterte can't even answer the simple UPLB questions, how much more when he appear in front of us embassy people <ed><U+00A0><U+00BD><ed><U+00B1><U+008E>"
ferthjunallen,Now show me anyone that lauded one #UPLB student's arrogance. Parents probably disowned the kid for not learning so much at school.
JFuentes13,Eto ang direchong sagot ni Mayor Rody Duterte sa pambabastos ng isang #UPLB Student https://t.co/Qi6zfffGiP
clavenilo,"Paging candidates peoples ( not comelec ) sponsored debate . UPLB , students to led questioning . Guess who will show up ? Only Mar &amp; Leni."
Targrod,"na-agrabyado lang 'yung kandidato n'yo, tinawag n'yo nang bastos 'yung uplb student."
KungFuPOLA,So uhn there's a new fb vid circulating. Twas when Mayor Duterte went to UPLB. Lemme tell you Kuya from UP. Sobrang bastos mo. Wala kang -
eabaguioro,With the recent UPLB Forum where #Duterte was found unable to provide specific ACTION POINTS to achieve his... https://t.co/RBgVpbnFfm
joenaskiddo,me want to go to uplb :(( hahahaha so near yet so far lol
clavenilo,Forget the commercial heavy comelec debate . Candidates should all go to UPLB thats where real questions are asked . Luv ya all UPLB !!
clavenilo,@DaniloA64203375 @1nutty_hazel @nems5669 UPLB students roasted Dudirty  next campus journalists says no to marcos jr the youth has awaken!
parujinog,@twit2millions Tnx sa pag retweet dapat kc piliiin ng UPLB scholar ng bayan Hindi bastos...sayang lang pinapaaral sa taong arogante
parujinog,@UPLB tanggalin ito sa Scholarship walang mudo bastos!pag makatapos ito arogante sa ibang tao! https://t.co/mDSASO5W0s
parujinog,Ito yong UPLB scholar arogante at walang mudo. Dapat nto tinanggal na sa Scholarship. Pg insulto ny ky mayor duterte https://t.co/CbEqT7ppK7
jazzenhea,"Dear UPLB kid! You are very STUPID!!! You are a DISGRACE to all of UP!!! 1st: You are an arrogant twat!
2nd: You... https://t.co/YXQ0ZEYvf4"
sandyhiponia,Grabe yung uplb na student.. Manners plss <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>
frustratedbarbi,Katong estudyante sa UPLB nga bogo. Hahahaha
HotdogAbrenica,"Eto pala yung sinasabi ng @ABSCBNNews na ""UPLB supporters of Duterte"" huehuehuehuehue... https://t.co/9A1agnFled"
_ivannnnn,I know it's old but it's still magnificent. <ed><U+00A0><U+00BD><ed><U+00B8><U+008C> #uplb #vsco #vscoph #vscocam #vscophile @ UPLB Campus https://t.co/B8HyiJdaBU
realree888,Trending ka boy pero di sa dunong kundi sa pagiging #arogante #walangmodo #uplb #DuterteVisitsUPLB #Duterte2016 https://t.co/MaDNdnm6xM
pinaythinks,Intellectual arrogance. This guy. #duterte #valuesiseverything #uplb  https://t.co/yB5H1u5NH8
VictorAnastacio,Thank you rin!!! Ang SAYA sa UPLB! <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B9><U+0086><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B9><U+0086><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B9><U+0086><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B9><U+0086><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B9><U+0086><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B9><U+0086><ed><U+00A0><U+00BD><ed><U+00B9><U+0086><ed><U+00A0><U+00BD><ed><U+00B9><U+0086> https://t.co/2HN8Y9hlgx
ricolocco,"Ang yabang nitong UPLB student na to, you're not even from Diliman. #burn"
RewolfBulak,"UPLB man unta nagskwela, BUGO man. Wa paju'y batasan. https://t.co/7Bq0Q9eAbq"
Jajasaidwhat,"Maski unsa pa ka stupid ang query atong bastard UPLB student, nag show unta siyag respect. Ana lang."
_jaaroncruz,Putangina talaga yung nag tanong na taga uplb na yon gusto niya direchong sagot tangina demanding.
bum_tenorio,"@DrTP I love the UPLB campus. It serves as a muse in my writing--many times. I'm energized after every visit, which I wish would be often."
bum_tenorio,"@ms_made000 @stellaviz Every time I need a respite, I visit UP Los Ba�os and there I become Peter Pan again. I love UPLB."
ms_made000,@bum_tenorio @stellaviz  Summer vacations in Forestry. A lot of fond memories growing up with my cuzins in UPLB. I really miss those days!
youronlyprince6,Ah okay ganito pala sa UPLB . Nadismaya ako ..  Yung skul na pinapangarap ng lahat may iilang ilang bastos at... https://t.co/k1bJJeZB2z
lennomsprite,I think it's safe to say we need smarter UPLB students nowadays. 2nd to the last to ask is the stupidest in this... https://t.co/tplShmFU6F
ssaamantha__,"To the people hatin' on UPLB students, may God bless you all. <U+263A>"
the_korrs,"Here's the full speech of Davao City Mayor Rodrigo Duterte at UPLB: https://t.co/cpQFAYPZSv

IN YOUR FACE, RAPPLER."
Jerickohh,UPLB Student na walang manners! kagaya lng din ng kanyang gustong maging presidente hahaha https://t.co/xxNed8mjQF
kashtargaryen,So Duterte came to UPLB last Friday. So nakakaimbyerna na naman headline ng ABS-CBN. Kaloka.
angeladesagun,@DwayneInfante week after palarong uplb
bum_tenorio,The Humanities Steps -- forever a witness to the UPLB Com Arts Soc's every joy and celebration. #ForeverBeginsAt40 https://t.co/5s5NHLbpJm
fibidg,I got curious to the student who disrespected my president so I'm watching full videos of Duterte's visit to UPLB.
charlanesickles,"Yong UPLB student "" The Camote Man"" estupido! Prestigious school sinira mo ang image ng UP."
bingmarasigan,hi @ABSCBNNews ano pong problem ninyo sa mga UPLB student? Lagi nalang hahahahaha
gmalex21,"UPLB ba talaga ka ito nag aral? walang modo, hehehe! https://t.co/dK5NANsJ9R"
RodyDuterte1,iLang UPLB students Hindi gusto si Duterte dahil sa ExtraJudicial Killings: https://t.co/7B1RHEnZye via @YouTube
christeinelim11,"Nakakainit ng ulo, un lalaking nagtanong kay duterte sa UPLB. I think outsider xa lol. Maxado xang atat parang natatae na ewan."
this_is_bonggo,UPLB students frustrated with how Duterte answered questions. He doesn't like #DaangMatuwid; it's  #TheLongAndWindingRoad for him?
MckayeManzanero,"""Ung mga pasang awa sa upcat jan din nilalagay sa uplb, lalo n ung my mga backer"" TANGINA MO KUYA LEGIT"
brother_liquor,Si Ma'am Dana Punelas na talaga ang pinakamagandang instructor sa balat ng Institute of Chemistry UPLB &lt;3 &lt;3
MckayeManzanero,indifferent lang sana ako sa duterte-uplb student issue na 'to kaso putangina nung nagbasa ako ng comments A B A P U T A
MckayeManzanero,"""Tapunan lang ng up diliman yang uplb."" WTF KUYA?!?!?!??!!! ANO??!?1//!!?/1"
cathsquared,Ano pong problema niyo sa mga estudyante ng UP? Lalo na sa mga estudyante ng UPLB? = )
JeffyingGravity,"The UPLB student was not getting the answer he wants, of course he has the right to demand for a direct response."
lsnnbl,"Rule #7 Keep Flame Wars under control. 
Lol andaming flame bait sa comments dun sa news about duterte uplb visit"
NheneRosalie,#UPLB https://t.co/wMI2gGj0vS
theoctoberowl,"""@jmymzon: Yung student na nagtanong kay Duterte sa UPLB parang walang respeto,ganun din siguro sya sa ama nya."""
imsupereli,hoy @/duterte supporters sobra na po yung pababalaj nyo sa estudyante ng uplb grabe na po kasi eh
theoctoberowl,"""@arkangel0115: After watching Duterte in UPLB, ngayon ko napatunayan hindi lahat ng nagaaral sa unibersidad ay marunong rumispeto sa tao."""
theoctoberowl,"""@hzn_apoduwaling: Arrogant UPLB students were not there to get to know Duterte. Was there to test their rabidness on the feisty mayor."""
theoctoberowl,"""@shairalita: Like that UPLB student asking Mayor Duterte pasikat-sa-classroom-like questions."" He was really that stupid."
