"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","TAKE ME TO #ELBI! #DutertesaUPLB https://t.co/5bJQsNpQaD",FALSE,1,NA,2016-03-11 09:07:43,FALSE,NA,"708217830404022272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lovelotssabrina",0,FALSE,FALSE,NA,NA
"2","ATM 1,001 are watching the live stream of Duterte speaking about his style of governance. #PHVote #DutertevisitsUPLB #DutertesaUPLB",FALSE,5,NA,2016-03-11 08:24:30,FALSE,NA,"708206954967990272",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","PAPU_J",3,FALSE,FALSE,NA,NA
"3","#DutertesaUplb live stream pleaseeeee...",FALSE,0,NA,2016-03-11 05:27:19,FALSE,NA,"708162366479859717",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","owenseeennn",0,FALSE,FALSE,NA,NA
"4","#DuterteSaUPLB
Ang gwapo ni Alan Cayetano...
uhh wait, Shaina?",FALSE,1,NA,2016-03-11 05:25:19,FALSE,NA,"708161863272390656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","she8happens",0,FALSE,FALSE,NA,NA
"5","Crowd. #DutertesaUPLB #PHVote #PHVoteDuterte https://t.co/BbWMenlMdo",FALSE,2,NA,2016-03-11 05:22:22,FALSE,NA,"708161119307739136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eybisidiiii",0,FALSE,FALSE,NA,NA
"6","#ABSCBNsaysorrytoUPLB 
Inuunahan ko na kayo kasi alam kong may katangahan ulit magagawa ang abscbn #dutertevisitsUPLB #DutertesaUPLB",FALSE,23,NA,2016-03-11 05:21:48,FALSE,NA,"708160977422778368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itsjoshsantos",4,FALSE,FALSE,NA,NA
"7","Alan Peter Cayetano in Elbi. #DutertesaUPLB https://t.co/lVWbMEiwgm",FALSE,1,NA,2016-03-11 05:19:58,FALSE,NA,"708160515718000640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alyssajoeys",1,FALSE,FALSE,NA,NA
"8","@uplbperspective #DutertesaUPLB gamit ng OC Public Relations",FALSE,1,"uplbperspective",2016-03-11 05:19:52,FALSE,"708157210166054912","708160490413756418","175330633","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lanachan",0,FALSE,FALSE,NA,NA
