"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1216","Punyeta nakakainip naman #PilipinasDebates",FALSE,0,NA,2016-03-20 10:09:08,FALSE,NA,"711494777930289152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","trixiexexe",0,FALSE,FALSE,NA,NA
"1217","#PilipinasDebates",FALSE,1,NA,2016-03-20 10:08:59,FALSE,NA,"711494740315758592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LeeIsASpicyNom",0,FALSE,FALSE,NA,NA
"1218","#PiliPinasDebates",FALSE,0,NA,2016-03-20 10:08:52,FALSE,NA,"711494709470826501",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amiradims",0,FALSE,FALSE,NA,NA
"1219","Now watching and anticipating the start of #pilipinasdebates on #tv5! As usual, Filipino time at its finest! What's new?",FALSE,0,NA,2016-03-20 10:08:42,FALSE,NA,"711494668970635265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tara_fonsseca",0,FALSE,FALSE,NA,NA
"1220","#PiliPinasDebates
Tgal na nga dami pa commercial nyan",FALSE,0,NA,2016-03-20 10:08:38,FALSE,NA,"711494650226343937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frankiecharmai1",0,FALSE,FALSE,NA,NA
"1221","#InipNaInip #Antagal #PiliPinasDebates",FALSE,0,NA,2016-03-20 10:08:33,FALSE,NA,"711494629154275328",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","_jaybustamante",0,FALSE,FALSE,NA,NA
"1222","#Binaycauseofdelay #PiliPinasDebates paespesyal! Dapat jan wag na isali",FALSE,0,NA,2016-03-20 10:08:17,FALSE,NA,"711494562443689984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Le_sweets88",0,FALSE,FALSE,NA,NA
"1223","#PiliPinasDebates o #PiliPinasDelayed? Lol",FALSE,0,NA,2016-03-20 10:08:17,FALSE,NA,"711494561734918144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akosimajocko",0,FALSE,FALSE,NA,NA
"1224","Binnnnnnnnnaaaaaayyyyyy san ka na ba uwi ka na di na ko galit <U+2764><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>#Pabebe<ed><U+00A0><U+00BD><ed><U+00B8><U+00A0><ed><U+00A0><U+00BD><ed><U+00B1><U+008A> #PILIPINASDEBATES#BILANGPILIPINO",FALSE,0,NA,2016-03-20 10:07:48,FALSE,NA,"711494441618378752",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","yazzi_14",0,FALSE,FALSE,NA,NA
"1225","Watch'n #PilipinasDebates Good luck #DU30 <U+270C>",FALSE,0,NA,2016-03-20 10:07:41,FALSE,NA,"711494412547674112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","day_sella",0,FALSE,FALSE,NA,NA
"1226","Nilalamok Na kme simulan nyo Na..!! #pilipinasdebates",FALSE,0,NA,2016-03-20 10:07:39,FALSE,NA,"711494405455089664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GlorigenM",0,FALSE,FALSE,NA,NA
"1227","Pre-noc shift be like.
#bilangpilipino #pilipinasdebates https://t.co/XJfaqPubX7",FALSE,0,NA,2016-03-20 10:07:31,FALSE,NA,"711494370999050240",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","paologalindo92",0,FALSE,FALSE,NA,NA
"1228","ANG TAGAL naman mag simula ng debates#pilipinasdebates",FALSE,0,NA,2016-03-20 10:07:21,FALSE,NA,"711494328724488192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VelascoMico",0,FALSE,FALSE,NA,NA
"1229","Pag start na intawon mo uyyyy #PILIPINASDEBATES#BILANGPILIPINO",FALSE,0,NA,2016-03-20 10:06:50,FALSE,NA,"711494200202805253",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","mayann998",0,FALSE,FALSE,NA,NA
"1230","MY GOODNESS! T___T #PilipinasDebates #BilangPilipino",FALSE,0,NA,2016-03-20 10:06:25,FALSE,NA,"711494093218557953",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lusterlusterlus",0,FALSE,FALSE,NA,NA
"1231","@cherylcosim hayaan mo sila madam. Kala mo ang galing galing nila. I understand the delay #PilipinasDebates",FALSE,0,"cherylcosim",2016-03-20 10:06:23,FALSE,NA,"711494083882004481","127808792","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","siRHEN22",0,FALSE,FALSE,NA,NA
"1232","Di ko kakita ug pilipinasdebates :/",FALSE,1,NA,2016-03-20 10:06:15,FALSE,NA,"711494052307275776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","keaChDanieL",0,FALSE,FALSE,NA,NA
"1233","Now watching. Who's causing the delay ba? #PilipinasDebates https://t.co/xCsHF1Bkkt",FALSE,0,NA,2016-03-20 10:06:11,FALSE,NA,"711494033588297729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sweet_oohlala",0,FALSE,FALSE,NA,NA
"1234","Kung hindi ready sa debate dapat hindi na umattend. Daming concern. <ed><U+00AE><U+00B8><ed><U+00BC><U+00A6> #BilangPilipino #PilipinasDebates — feeling blah",FALSE,0,NA,2016-03-20 10:06:07,FALSE,NA,"711494018148884480",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","QueenShobePearl",0,FALSE,FALSE,NA,NA
"1235","Yeah, we get it. It's not TV5's fault that there's a delay. But gaaahd. Stop talking about it already. 30 minutes na po. #PilipinasDebates",FALSE,0,NA,2016-03-20 10:06:06,FALSE,NA,"711494013627473920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juperd",0,FALSE,FALSE,NA,NA
"1236","Kudos to @TV5manila, isang oras na sila nag-aadlib. #PiliPinasDebates",FALSE,0,NA,2016-03-20 10:06:01,FALSE,NA,"711493994308509696",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","patriciaviray",0,FALSE,FALSE,NA,NA
"1237","Binnnnnnnnnaaaaaayyyyyy san ka na ba uwi ka na di na ko galit <U+2764><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>#Pabebe<ed><U+00A0><U+00BD><ed><U+00B8><U+00A0>#PILIPINASDEBATES",FALSE,0,NA,2016-03-20 10:05:40,FALSE,NA,"711493906907594752",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","yazzi_14",0,FALSE,FALSE,NA,NA
"1238","Ubos na kape &amp; snacks ko.... #PilipinasDebates pls.",FALSE,0,NA,2016-03-20 10:05:01,FALSE,NA,"711493740146397184",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","jenipuur",0,FALSE,FALSE,NA,NA
"1239","Its clear that the professor is bias. He never had mentioned Duterte in his answers.
#pilipinasdebates
#bilangpilipino
#duterte2016",FALSE,0,NA,2016-03-20 10:04:46,FALSE,NA,"711493680272711680",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","XNTV8",0,FALSE,FALSE,NA,NA
"1240","#PilipinasDebates
#TV5",FALSE,0,NA,2016-03-20 10:04:46,FALSE,NA,"711493678326480896",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","jhunamae1",0,FALSE,FALSE,NA,NA
"1241","Dear TV5, takot na takot din kayo mag name drop e no? Fealess news my ass. #PilipinasDebates #PilipinasDebates2016",FALSE,3,NA,2016-03-20 10:04:27,FALSE,NA,"711493600467558400",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","jerometarriela",0,FALSE,FALSE,NA,NA
"1242","#PilipinasDebates ano na? <ed><U+00A0><U+00BD><ed><U+00B8><U+0085>",FALSE,0,NA,2016-03-20 10:03:36,FALSE,NA,"711493383466823680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","irvelandria",0,FALSE,FALSE,NA,NA
"1243","Friends who are following the #PiliPinasDebates it's Binay who wants to bring notes thus causing the delay, not Mar.",FALSE,1,NA,2016-03-20 10:03:34,FALSE,NA,"711493378114859008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","timpguanzon",2,FALSE,FALSE,NA,NA
"1244","Sanay na sanay na kong maghintay. HAHAHA! <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4> dalawa pala Debates na magaganap ngayon. <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00BA><ed><U+00BE><U+0096> #PilipinasDebates #BilangPilipino",FALSE,0,NA,2016-03-20 10:03:33,FALSE,NA,"711493373505314816",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","dicen_rommel",0,FALSE,FALSE,NA,NA
"1245","Nasaan na yung mga tumatakbong Presidente? Utang na loob ilabas nyo na!
#PilipinasDebates #BilangPilipino",FALSE,0,NA,2016-03-20 10:03:09,FALSE,NA,"711493273613897728",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","dyooosepin",0,FALSE,FALSE,NA,NA
"1246","@News5AKSYON @maeannelosbanos Buti pa c Digong laging naka-barong tagalog.<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #DU30 <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> PHVOTEDUTERTE #PiliPinasDebates #PiliPinasDebated2016",FALSE,1,"News5AKSYON",2016-03-20 10:03:08,FALSE,"711490396333838336","711493268547067905","133152120","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThisGirlAvril",1,FALSE,FALSE,NA,NA
"1247","what do you think.is happening at #pilipinasdebates",FALSE,0,NA,2016-03-20 10:03:07,FALSE,NA,"711493261756485632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","janjanson86",0,FALSE,FALSE,NA,NA
"1248","Si Binay na lang wala 

#PilipinasDebates",FALSE,0,NA,2016-03-20 10:03:07,FALSE,NA,"711493261479645184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","steffiengerrr",0,FALSE,FALSE,NA,NA
"1249","Nagbuhat pa daw codigz c Binay. Haha <ed><U+00AE><U+00B8><ed><U+00BC><U+00AA>
#Duterte2016 #PilipinasDebates #BilangPilipino",FALSE,0,NA,2016-03-20 10:03:05,FALSE,NA,"711493254554882048",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","kenkevint",0,FALSE,FALSE,NA,NA
"1250","Ano sisimulan paba? #PiliPinasDebates",FALSE,1,NA,2016-03-20 10:02:49,FALSE,NA,"711493189358596096",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","DuterteM_",0,FALSE,FALSE,NA,NA
"1251","#PiliPinasDebates
Hang tahghal...",FALSE,0,NA,2016-03-20 10:02:37,FALSE,NA,"711493138481688576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tziporah_2901",0,FALSE,FALSE,NA,NA
"1252","Pabebe si Binay #PilipinasDebates https://t.co/H0cQ3tFZmr",FALSE,0,NA,2016-03-20 10:02:24,FALSE,NA,"711493084773617664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nesleralmagro",0,FALSE,FALSE,NA,NA
"1253","Nakakainip ha. Di na nga ako lumabas, para lang tumutok sa TV tapos ganito naman <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #PilipinasDebates #BilangPilipino",FALSE,0,NA,2016-03-20 10:02:06,FALSE,NA,"711493009234219008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sjlm1204",0,FALSE,FALSE,NA,NA
"1254","#dugaya #pilipinasdebates #rulesarerules",FALSE,0,NA,2016-03-20 10:01:08,FALSE,NA,"711492763242536960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LunaticarlCf",0,FALSE,FALSE,NA,NA
"1255","PilipinasDebates",FALSE,0,NA,2016-03-20 10:01:01,FALSE,NA,"711492734113095681",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fernuie",0,FALSE,FALSE,NA,NA
"1256","Bat ganun.. May kandidato nnmn playing safe sa tanong siguro. Si kupal MAR ROXAS na naman siguro un. #PiliPinasDebates #BilangPilipinoDebate",FALSE,0,NA,2016-03-20 10:00:33,FALSE,NA,"711492618308292608",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","bananaQ_tuRON",0,FALSE,FALSE,NA,NA
"1257","#PiliPinasdebates dapat #PiliPinasdelay .",FALSE,0,NA,2016-03-20 10:00:31,FALSE,NA,"711492610154561541",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","3_k3mmU3l",0,FALSE,FALSE,NA,NA
"1258","Shud've raised d concerns b4hnd. Shud've been more strict sa rules ng debate. 
Time is gold. Tsktsk
#PILIPinasDebates #BilangPilipino",FALSE,0,NA,2016-03-20 10:00:23,FALSE,NA,"711492575274909697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SiTaratitatAko",0,FALSE,FALSE,NA,NA
"1259","#pilipinasdebates #inipnainip",FALSE,0,NA,2016-03-20 10:00:17,FALSE,NA,"711492551476273152",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","nirafortuno",0,FALSE,FALSE,NA,NA
"1260","#Pilipinasdebates
#PHVoteduterte",FALSE,0,NA,2016-03-20 10:00:10,FALSE,NA,"711492521893859329",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","flore_liza",0,FALSE,FALSE,NA,NA
"1261","Yung reasoning mo, reasoning ng mga tanga.. <ed><U+00AE><U+00B8><ed><U+00BC><U+00A6>

#halatanghalata <ed><U+00AE><U+00B8><ed><U+00BC><U+00A6>
#waiting <ed><U+00AE><U+00B8><ed><U+00BC><U+00A6>
#PilipinasDebates
#BilangPilipino
#PilipinasDebatesPart2",FALSE,0,NA,2016-03-20 09:59:59,FALSE,NA,"711492474733203458",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","AkE_Official",0,FALSE,FALSE,NA,NA
"1262","Almost one hour late! Ughhhh. What's happening TV5?!  #pilipinasdebates — waiting",FALSE,0,NA,2016-03-20 09:59:56,FALSE,NA,"711492461428916224",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","bbcreamaddict",0,FALSE,FALSE,NA,NA
"1263","#PILIPINASDEBATES
#BILANGPILIPINO",FALSE,0,NA,2016-03-20 09:59:54,FALSE,NA,"711492454483156992",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","hannachrsse_",0,FALSE,FALSE,NA,NA
"1264","Anyare na? PiliPinas Wait, kala ko #PiliPinasDebates. #PiliPinas2016",FALSE,0,NA,2016-03-20 09:59:52,FALSE,NA,"711492447147175936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SuperRyanBoy",0,FALSE,FALSE,NA,NA
"1265","PWEDE ba sa SUSUNOD ay PiliPinasDebates the LOVETEAM EDITION haha WALANG MAISIP kc INIP<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #PiliPinasDebates2016",FALSE,3,NA,2016-03-20 09:59:44,FALSE,NA,"711492412648984576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CabangRoma",1,FALSE,FALSE,NA,NA
"1266","#PiliPinasDebates
#Grace2016",FALSE,0,NA,2016-03-20 09:59:42,FALSE,NA,"711492403878711296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ellaga_louann",0,FALSE,FALSE,NA,NA
