"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1706","Duterte camp claims gaining more converts despite ratings slump | https://t.co/SGEL2L0ak4 #PHVoteDuterte https://t.co/QhmIZHze4s",FALSE,1,NA,2016-03-14 08:32:49,FALSE,NA,"709296212181057536",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">Duterte24x7</a>","Duterte24x7",2,FALSE,FALSE,NA,NA
"1707","Isang Duterte o kalibre ng isang Duterte ang dapat maging presidente! https://t.co/pTIib6GuQH",FALSE,1,NA,2016-03-14 08:32:41,FALSE,NA,"709296179763216384",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","rejondequilla",1,FALSE,FALSE,NA,NA
"1708","""it's your job as his supporter to keep him and his power in check"" https://t.co/WYj3MbAfWq",FALSE,0,NA,2016-03-14 08:32:31,FALSE,NA,"709296135660294144",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","angelotangsy",0,FALSE,FALSE,NA,NA
"1709","Bakit nung si Duterte ang namababastos ng ibang tao tuwang tuwa kayo pero nung nabastos siya ng estudyante yung galit niyo wala ng paglagyan",FALSE,4,NA,2016-03-14 08:32:14,FALSE,NA,"709296063484731393",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aejaymallari",2,FALSE,FALSE,NA,NA
"1710","Checking out my TL, seeing some Duterte supporters trolling tweeps who spoke out against him.

Kala ko ba sinabihan kayong ""be civil?""",FALSE,5,NA,2016-03-14 08:31:48,FALSE,NA,"709295955833585664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mrsunlawyer",5,FALSE,FALSE,NA,NA
"1711","""Maingay kasi ang mga estudyante don. Masyadong vague."" 

""Not expecting them to be prim and proper."" 

- Mayor Duterte

WHAT????!!!!!!",FALSE,0,"vlrdcls",2016-03-14 08:30:29,FALSE,"709294142497562629","709295623942504461","1142019997","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vlrdcls",0,FALSE,FALSE,NA,NA
"1712","Duterte camp claims gaining more ‘converts’ despite ratings slump https://t.co/jRtehPBGPa | @AHeginaINQ #VotePH2016 https://t.co/eYqIQJ22IO",FALSE,27,NA,2016-03-14 08:30:23,FALSE,NA,"709295600689221633",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","inquirerdotnet",9,FALSE,FALSE,NA,NA
"1713","@Duterte4Pres16 @merilla2010 Bahala na sila dyan. God is with us. TEAM #DUTERTE UNITED tayo. Kahit anong mangyari..let's win this!",FALSE,3,"Duterte4Pres16",2016-03-14 08:29:25,FALSE,"709294963293466624","709295356698238976","2875242018","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CyberChangge",1,FALSE,FALSE,NA,NA
"1714","VIRAL: Open letter from UPLB student Stephen Villena on Duterte incident  #viral",FALSE,0,NA,2016-03-14 08:29:20,FALSE,NA,"709295335848353792",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","trendborg",0,FALSE,FALSE,NA,NA
"1715","kung tinuod mani,ranger nalang ni duterte bahala nimu roxas!!! <ed><U+00AE><U+00BA><ed><U+00BE><U+00A0><ed><U+00AE><U+00BA><ed><U+00BE><U+00A0><ed><U+00AE><U+00BA><ed><U+00BD><U+0098><ed><U+00AE><U+00BA><ed><U+00BD><U+0098><ed><U+00AE><U+00B9><ed><U+00B3><U+00B5><ed><U+00AE><U+00B9><ed><U+00B3><U+00B5><ed><U+00AE><U+00B9><ed><U+00B3><U+00B5><ed><U+00AE><U+00B9><ed><U+00B3><U+00B5> https://t.co/RnqYwApIcR",FALSE,0,NA,2016-03-14 08:29:15,FALSE,NA,"709295313127870464",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","sunytychehope",0,FALSE,FALSE,NA,NA
"1716","DUTERTE &amp; Co. in Tacloban featured ""live"" on The NEXT FACTOR https://t.co/HPsak28gRW",FALSE,0,NA,2016-03-14 08:28:13,FALSE,NA,"709295053672476673",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","isyapme",0,FALSE,FALSE,NA,NA
"1717","Davao City Mayor Rodrigo Duterte on Monday asked his supporters to stop bullying his critics in the social media,... https://t.co/23sHCNrLet",FALSE,0,NA,2016-03-14 08:27:57,FALSE,NA,"709294986529996800",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","gwapito",0,FALSE,FALSE,NA,NA
"1718","#Eleksyon2016: Duterte unfazed despite losing 3 points in latest SWS survey https://t.co/xtJiLRNBst",FALSE,1,NA,2016-03-14 08:27:49,FALSE,NA,"709294954904985600",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","trishamacas",1,FALSE,FALSE,NA,NA
